date,time,open,high,low,close
20221222,0,19100,19720,18160,18310
20221223,0,18180,18220,17060,17060
20221226,0,16940,17435,16825,17170
20221227,0,17200,17410,17130,17165
20221228,0,17100,17575,16960,17425
20221229,0,17390,17665,17325,17515
20221230,0,17535,18520,17535,17895
20230103,0,17870,18040,17600,17770
20230104,0,17715,18050,17555,17640
20230105,0,17615,17800,17500,17585
20230106,0,17530,17825,17530,17820
20230109,0,17850,17920,17670,17695
20230110,0,17705,17785,17460,17475
20230111,0,17460,17555,17315,17350
20230112,0,17330,17770,17270,17445
20230113,0,17450,17690,17420,17520
20230116,0,17450,17670,17450,17515
20230117,0,17530,17800,17530,17615
20230118,0,17650,17825,17620,17710
20230119,0,17720,18375,17650,18330
20230120,0,18400,18625,18105,18590
20230130,0,18660,18720,17980,18075
20230131,0,18065,18260,17820,17860
20230201,0,17860,18060,17660,17900
20230202,0,17840,18020,17575,17625
20230203,0,17670,17820,17500,17745
20230206,0,17695,17820,17625,17765
20230207,0,17780,17850,17655,17715
20230208,0,17740,18025,17680,17875
20230209,0,17875,18105,17820,18020
20230210,0,18000,18105,17775,17955
20230213,0,17955,18080,17850,17920
20230214,0,17930,18035,17900,17945
20230215,0,18000,18110,17865,17885
20230216,0,17950,17950,17585,17630
20230217,0,17630,17750,17360,17375
20230220,0,17300,17495,17260,17470
20230221,0,17555,17800,17550,17675
20230222,0,17650,17755,17505,17575
20230223,0,17620,17700,17570,17620
20230224,0,17635,17680,17555,17635
20230227,0,17615,17745,17460,17480
20230228,0,17500,17580,17420,17520
20230301,0,17500,17595,17485,17540
20230302,0,17550,17620,17510,17525
20230303,0,17510,17560,17480,17490
20230306,0,17490,17520,17290,17300
20230307,0,17300,17410,17100,17130
20230308,0,17140,17330,17010,17175
20230309,0,17195,17220,17010,17075
20230310,0,17085,17115,16865,16960
20230313,0,16960,17040,16820,16970
20230314,0,16940,17060,16860,16905
20230315,0,16880,16960,16710,16740
20230316,0,16690,16710,15950,15975
20230317,0,16060,16310,16010,16120
20230320,0,16160,16295,16020,16080
20230321,0,16200,16330,15785,15870
20230322,0,15870,16030,15745,15965
20230323,0,15990,16070,15850,15895
20230324,0,15920,15980,15750,15895
20230327,0,15900,16065,15880,15915
20230328,0,15950,15995,15865,15910
20230329,0,15640,15890,15480,15750
20230330,0,15710,15790,15650,15730
