date,time,open,high,low,close
20150327,0,120000,120010,115150,119270
20150330,0,119270,119530,115600,118080
20150331,0,117650,119800,115960,118160
20150401,0,118020,118880,117070,117910
20150402,0,117970,119080,117970,118620
20150403,0,118810,119470,118560,118850
20150407,0,118890,119090,118270,118860
20150408,0,118710,118890,117150,117870
20150409,0,117570,117980,116500,116790
20150410,0,116500,116980,115320,115990
20150413,0,115960,116290,115270,115940
20150414,0,115550,115650,112300,112300
20150415,0,112400,114140,112320,113850
20150416,0,113200,113700,111010,112880
20150417,0,113010,113010,109300,110000
20150420,0,112000,112960,111120,111440
20150421,0,111840,111880,111100,111550
20150422,0,112190,113430,112190,112940
20150423,0,113400,113760,112960,113300
20150424,0,113350,113950,112750,113940
20150427,0,114400,117960,114400,117960
20150428,0,117970,118550,116500,117400
20150429,0,117140,117720,115110,115370
20150430,0,116000,119900,115050,117640
20150504,0,117360,119520,117360,118800
20150505,0,119000,119780,118000,118680
20150506,0,119650,123670,119500,123400
20150507,0,123300,125910,121500,122030
20150508,0,122700,122960,120020,121360
20150511,0,120890,122690,120710,122400
20150512,0,121100,121930,119690,119970
20150513,0,120800,121100,120000,120700
20150514,0,120700,122480,117800,119500
20150515,0,119190,119680,118610,119100
20150518,0,118690,119940,118030,119250
20150519,0,119520,119650,118070,118140
20150520,0,117690,117960,114160,115850
20150521,0,116350,120400,115220,119190
20150522,0,119500,119730,116900,117980
20150525,0,117170,119800,116800,117590
20150526,0,117600,119570,117600,118270
20150527,0,116760,117570,116200,116560
20150528,0,116010,117510,115720,116960
20150529,0,116900,116900,115680,116160
20150601,0,116090,116350,115630,116120
20150602,0,116120,117000,115780,116520
20150603,0,116740,116800,115020,115680
20150604,0,115330,115900,114500,114800
20150605,0,114640,114980,114260,114260
20150608,0,113990,114940,113910,114700
20150609,0,114710,115600,114710,115080
20150610,0,115340,115550,114850,115440
20150611,0,115490,115670,115300,115420
20150612,0,114420,114700,113520,113700
20150615,0,113410,113660,112810,113160
20150616,0,111720,112650,111700,111780
20150617,0,111990,112230,111210,111730
20150618,0,112290,112600,111820,112510
20150619,0,113010,114450,112470,113770
20150623,0,113360,114330,113360,114100
20150624,0,113540,114150,112500,113180
20150625,0,112820,113300,109470,111460
20150626,0,111280,111920,109800,110540
20150629,0,109100,110800,108560,109720
20150630,0,109000,109400,105740,106000
20150701,0,104010,107980,104010,106700
20150702,0,105610,109000,105610,108570
20150703,0,111100,111100,107080,108600
20150706,0,109820,109830,106950,106950
20150707,0,107900,107910,105110,107790
20150708,0,105620,105620,101810,101820
20150709,0,103310,107670,103310,107670
20150710,0,107000,108790,106500,107620
20150713,0,105000,106100,105000,106020
20150714,0,108300,108500,108100,108100
20150715,0,108500,108900,108100,108500
20150716,0,108687.938736,109024.25016,106947.032546,108163.688577
20150717,0,108331.844288,109588.066369,108134.01404,109291.320996
20150720,0,111180.599872,111269.623484,109894.703255,110320.03829
20150721,0,110646.4582,110646.4582,109588.066369,109795.78813
20150722,0,109578.174856,109983.726867,107382.259094,107619.655392
20150723,0,107075.622208,107758.136567,106887.683472,107758.136567
20150724,0,108015.31589,108302.169751,106947.032546,107036.056158
20150727,0,107105.296745,110191.448628,105868.85769,106996.490108
20150728,0,107223.994895,108747.287811,106749.202297,108628.589662
20150729,0,109776.005105,111141.033823,109597.957881,110557.434588
20150730,0,110052.967454,110567.326101,108925.335035,108984.68411
20150731,0,108410.976388,109934.269304,108094.44799,108767.070836
20150803,0,109241.863433,110161.774091,107540.523293,107540.523293
20150804,0,106630.504148,107679.004467,106333.758775,107570.19783
20150805,0,107718.570517,108005.424378,105740.268028,106323.867262
20150806,0,106333.758775,107303.126994,105235.800893,106185.386088
20150807,0,106432.673899,106907.466496,105631.461391,106244.735163
20150810,0,105938.098277,106788.768347,105354.499043,106640.39566
20150811,0,106234.84365,110141.991066,106096.362476,107313.018507
20150812,0,106927.249521,107441.608168,105908.42374,107223.994895
20150813,0,107441.608168,108134.01404,106333.758775,106620.612636
20150814,0,106452.456924,107036.056158,106037.013401,106037.013401
20150817,0,108015.31589,108015.31589,105898.532227,106224.952138
20150818,0,106165.603063,106600.829611,105641.352904,105997.447352
20150819,0,105552.329292,106195.277601,105394.065093,106116.145501
20150820,0,106393.107849,107500.957243,105522.654754,105779.834078
20150821,0,105938.098277,106284.301213,104167.517549,104236.758137
20150824,0,102871.729419,104642.310147,100873.643906,100873.643906
20150825,0,98964.582004,100477.983408,98925.015954,99666.879387
20150826,0,99617.421825,100932.99298,99122.846203,99122.846203
20150827,0,98499.680919,99370.134014,97144.543714,99023.931078
20150828,0,99004.148054,101862.79515,98529.355456,99904.275686
20150831,0,99904.275686,100982.450542,98133.694959,98420.548819
20150901,0,99399.808551,99409.700064,98430.440332,98737.077218
20150902,0,99409.700064,99488.832163,96155.39247,98519.463944
20150907,0,98915.124442,98915.124442,96570.835992,98915.124442
20150908,0,97174.218251,99063.497128,97174.218251,99063.497128
20150909,0,100468.091895,101091.257179,98915.124442,99310.784939
20150910,0,98934.907466,99904.275686,98450.223357,99904.275686
20150911,0,100398.851308,101872.686662,100398.851308,100497.766433
20150914,0,100644.079788,101209.82476,99522.344066,99610.132079
20150915,0,99658.903197,100000.301026,98673.726607,98966.353317
20150916,0,99639.39475,99883.250342,99063.895554,99678.411645
20150917,0,99961.284131,99961.284131,99327.259593,99346.76804
20150918,0,98556.675923,99297.996922,98556.675923,98810.285738
20150921,0,98820.039962,98820.039962,97074.033926,98078.718963
20150922,0,98029.947845,98029.947845,96615.585414,96615.585414
20150923,0,96644.848085,96644.848085,94694.003351,96371.729822
20150924,0,96079.103112,97122.805044,95679.179942,96313.20448
20150925,0,96947.229018,97239.855728,95991.315099,96547.305848
20150928,0,96635.093861,96635.093861,94830.562483,95006.138509
20150929,0,94664.74068,95123.189193,93855.140116,94713.511799
20150930,0,94996.384285,95669.425718,94625.723786,94713.511799
20151008,0,95552.375034,97532.482438,95210.977206,95718.196836
20151009,0,95688.934165,96839.932558,94781.791364,96664.356532
20151012,0,98029.947845,98029.947845,96040.086217,96576.568519
20151013,0,96674.110756,97249.609952,95981.560875,96137.628454
20151014,0,95796.230626,96274.187585,94898.842048,95113.434969
20151015,0,95454.832797,98517.659028,95220.731429,97152.067715
20151016,0,97249.609952,97766.583806,94859.825154,96040.086217
20151019,0,95991.315099,96878.949453,94889.087825,95601.146152
20151020,0,95503.603916,96079.103112,95279.256771,95776.722178
20151021,0,96147.382678,96761.898769,95893.772862,96001.069323
20151022,0,95659.671494,96449.763611,95435.32435,96079.103112
20151023,0,95981.560875,96254.679138,95103.680745,96069.348888
20151026,0,96547.305848,96654.602308,94889.087825,95054.909627
20151027,0,94606.215338,95396.307455,93962.436576,94811.054035
20151028,0,94518.427325,95074.418074,92372.498119,92733.404394
20151029,0,92343.235448,93543.004959,92031.10029,92206.676316
20151030,0,91689.702462,92040.854514,90402.144938,91055.677924
20151102,0,90772.805437,91611.668673,90753.29699,91309.287739
20151103,0,91299.533515,92118.888303,90919.118792,90928.873016
