date,time,open,high,low,close
20181127,0,5828,5830,5382,5382
20181128,0,5300,5314,5142,5184
20181129,0,5160,5294,5122,5188
20181130,0,5208,5220,5114,5148
20181203,0,5158,5262,4970,4978
20181204,0,4978,5114,4978,5058
20181205,0,5060,5158,5040,5140
20181206,0,5150,5264,5128,5132
20181207,0,5112,5208,5086,5138
20181210,0,5150,5224,5136,5166
20181211,0,5160,5198,5074,5094
20181212,0,5112,5152,5104,5138
20181213,0,5146,5158,5094,5126
20181214,0,5120,5164,5104,5132
20181217,0,5110,5150,5108,5132
20181218,0,5134,5162,5112,5126
20181219,0,5124,5144,5032,5062
20181220,0,5068,5082,5044,5066
20181221,0,5072,5072,5028,5048
20181224,0,5042,5064,4960,4982
20181225,0,4982,5038,4966,5000
20181226,0,4996,5012,4916,4938
20181227,0,4950,4998,4940,4952
20181228,0,4944,5058,4938,5048
20190102,0,5044,5118,5010,5082
20190103,0,5072,5108,5060,5082
20190104,0,5084,5236,5072,5140
20190107,0,5152,5186,5114,5170
20190108,0,5172,5192,5138,5158
20190109,0,5160,5340,5156,5304
20190110,0,5306,5362,5260,5272
20190111,0,5272,5328,5252,5324
20190114,0,5320,5378,5280,5294
20190115,0,5300,5302,5214,5242
20190116,0,5242,5320,5232,5318
20190117,0,5310,5342,5284,5316
20190118,0,5308,5418,5260,5380
20190121,0,5386,5472,5372,5448
20190122,0,5436,5530,5416,5430
20190123,0,5428,5466,5402,5442
20190124,0,5446,5480,5364,5394
20190125,0,5382,5456,5358,5410
20190128,0,5406,5430,5316,5326
20190129,0,5320,5360,5308,5320
20190130,0,5330,5372,5310,5316
20190131,0,5322,5430,5280,5426
20190201,0,5416,5540,5410,5474
20190211,0,5468,5516,5392,5412
20190212,0,5420,5514,5418,5506
20190213,0,5522,5538,5434,5458
20190214,0,5454,5506,5386,5414
20190215,0,5430,5430,5352,5394
20190218,0,5404,5450,5376,5438
20190219,0,5444,5516,5428,5516
20190220,0,5536,5554,5464,5496
20190221,0,5496,5622,5480,5614
20190222,0,5610,5686,5584,5670
20190225,0,5682,5684,5606,5612
20190226,0,5614,5626,5550,5584
20190227,0,5588,5610,5542,5566
20190228,0,5576,5606,5518,5548
20190301,0,5548,5614,5540,5596
20190304,0,5602,5636,5486,5552
20190305,0,5544,5588,5524,5560
20190306,0,5566,5606,5546,5556
20190307,0,5552,5572,5464,5470
20190308,0,5482,5486,5380,5408
20190311,0,5364,5458,5364,5432
20190312,0,5434,5452,5410,5428
20190313,0,5430,5468,5396,5412
20190314,0,5414,5448,5378,5384
20190315,0,5374,5438,5356,5418
20190318,0,5412,5456,5396,5430
20190319,0,5434,5480,5410,5446
20190320,0,5448,5468,5310,5322
