date,time,open,high,low,close
20190925,0,15575,15760,15280,15575
20190926,0,15565,15935,15550,15705
20190927,0,15715,15800,15580,15725
20190930,0,15735,15790,15635,15700
20191008,0,15630,15800,15545,15675
20191009,0,15630,15695,15630,15675
20191010,0,15685,15895,15600,15765
20191011,0,15800,15800,15705,15745
20191014,0,15775,15830,15735,15765
20191015,0,15735,15820,15165,15440
20191016,0,15405,15585,15405,15490
20191017,0,15465,15510,15115,15180
20191018,0,15175,15245,14790,15020
20191021,0,15180,15200,14680,14850
20191022,0,14850,14980,14770,14895
20191023,0,14940,15150,14840,14975
20191024,0,14975,15130,14940,15005
20191025,0,15060,15080,14815,14960
20191028,0,14960,15065,14855,15005
20191029,0,15065,15225,14965,15025
20191030,0,15020,15065,14965,15065
20191031,0,15115,15115,14925,14985
20191101,0,14990,15000,14850,15000
20191104,0,14955,15005,14950,14975
20191105,0,14960,15000,14875,14910
20191106,0,14910,14975,14865,14930
20191107,0,14955,14965,14850,14920
20191108,0,14940,14940,14775,14780
20191111,0,14765,14780,14200,14210
20191112,0,14205,14425,14170,14385
20191113,0,14345,14480,14250,14360
20191114,0,14350,14430,14270,14370
20191115,0,14365,14440,14200,14375
20191118,0,14375,14405,14115,14300
20191119,0,14205,14505,14205,14380
20191120,0,14380,14485,14335,14415
20191121,0,14400,14405,14260,14375
20191122,0,14420,14580,14315,14530
20191125,0,14540,14595,14455,14525
20191126,0,14555,14565,14355,14370
20191127,0,14360,14380,14185,14220
20191128,0,14220,14260,14095,14110
20191129,0,14080,14135,14000,14005
20191202,0,13975,14075,13905,13930
20191203,0,13930,14075,13925,14020
20191204,0,14015,14095,13835,13850
20191205,0,13870,13980,13765,13880
20191206,0,13875,14015,13850,13950
20191209,0,13970,14130,13785,13935
20191210,0,13920,14030,13860,13985
20191211,0,13985,14280,13940,14200
20191212,0,14275,14395,14200,14235
20191213,0,14265,14295,14115,14275
20191216,0,14350,14375,14190,14255
20191217,0,14220,14325,14220,14300
