date,time,open,high,low,close
20060109,0,5300,5350,5070,5096
20060110,0,5072,5108,5050,5086
20060111,0,5072,5094,5060,5080
20060112,0,5070,5094,5066,5086
20060113,0,5080,5080,5032,5036
20060116,0,5056,5076,5038,5058
20060117,0,5058,5066,5030,5030
20060118,0,5008,5058,5008,5028
20060119,0,5036,5104,5036,5092
20060120,0,5080,5148,5060,5098
20060123,0,5132,5142,5084,5096
20060124,0,5100,5100,5008,5050
20060125,0,5046,5076,5030,5058
20060206,0,5198,5236,5150,5200
20060207,0,5150,5176,5110,5164
20060208,0,5100,5106,4970,5064
20060209,0,5080,5106,5048,5058
20060210,0,5122,5122,5060,5080
20060213,0,5088,5088,5054,5070
20060214,0,5070,5086,5064,5078
20060215,0,5062,5078,5052,5068
20060216,0,5062,5100,5062,5088
20060217,0,5100,5160,5096,5144
20060220,0,5196,5196,5148,5150
20060221,0,5150,5172,5122,5122
20060222,0,5110,5144,5102,5136
20060223,0,5090,5130,5086,5104
20060224,0,5112,5236,5112,5202
20060227,0,5180,5194,5136,5150
20060228,0,5182,5220,5166,5174
20060301,0,5230,5290,5196,5268
20060302,0,5284,5308,5252,5268
20060303,0,5318,5346,5284,5296
20060306,0,5280,5282,5238,5238
20060307,0,5250,5278,5226,5238
20060308,0,5204,5228,5196,5220
20060309,0,5200,5236,5192,5236
20060310,0,5228,5252,5204,5206
20060313,0,5212,5246,5204,5232
20060314,0,5206,5230,5202,5216
20060315,0,5228,5240,5218,5222
20060316,0,5220,5220,5200,5210
20060317,0,5196,5202,5170,5172
20060320,0,5172,5190,5170,5186
20060321,0,5166,5172,5140,5150
20060322,0,5150,5172,5148,5162
20060323,0,5150,5156,5142,5154
20060324,0,5162,5184,5162,5168
20060327,0,5148,5174,5148,5166
20060328,0,5166,5168,5146,5148
20060329,0,5164,5166,5150,5154
20060330,0,5160,5160,5132,5150
20060331,0,5170,5180,5148,5156
20060403,0,5108,5118,5074,5112
20060404,0,5086,5110,5086,5092
20060405,0,5086,5098,5078,5092
20060406,0,5096,5104,5076,5076
20060407,0,5084,5084,5018,5036
20060410,0,5022,5022,4994,4996
20060411,0,5000,5046,4996,5028
20060412,0,5040,5042,5026,5036
20060413,0,5004,5028,5004,5020
20060414,0,5030,5038,5022,5032
20060417,0,5030,5050,5024,5032
20060418,0,5036,5040,5002,5028
20060419,0,5048,5096,5044,5078
20060420,0,5108,5108,5070,5078
20060421,0,5080,5080,5050,5054
20060424,0,5098,5146,5080,5124
20060425,0,5096,5130,5090,5122
20060426,0,5140,5154,5104,5130
20060427,0,5120,5150,5116,5120
20060428,0,5150,5184,5134,5178
20060508,0,5160,5184,5140,5152
20060509,0,5120,5174,5120,5166
20060510,0,5152,5210,5152,5190
20060511,0,5186,5268,5186,5236
20060512,0,5302,5340,5230,5246
20060515,0,5260,5268,5216,5250
20060516,0,5160,5220,5152,5180
20060517,0,5220,5280,5202,5236
20060518,0,5230,5230,5176,5216
20060519,0,5182,5212,5182,5210
20060522,0,5170,5180,5154,5160
20060523,0,5170,5198,5170,5184
20060524,0,5210,5236,5194,5218
20060525,0,5182,5208,5180,5204
20060526,0,5228,5230,5202,5222
20060529,0,5222,5272,5204,5262
20060530,0,5250,5268,5228,5246
20060531,0,5246,5264,5232,5232
20060601,0,5226,5226,5160,5194
20060602,0,5200,5224,5182,5202
20060605,0,5258,5260,5230,5246
20060606,0,5238,5238,5032,5226
20060607,0,5210,5210,5182,5202
20060608,0,5202,5202,5170,5176
20060609,0,5160,5180,5156,5176
20060612,0,5218,5218,5164,5188
20060613,0,5192,5192,5162,5166
20060614,0,5168,5168,5110,5134
20060615,0,5120,5146,5120,5130
20060616,0,5136,5148,5132,5146
20060619,0,5134,5146,5114,5140
20060620,0,5102,5138,5102,5124
20060621,0,5086,5144,5086,5136
20060622,0,5134,5160,5134,5150
20060623,0,5150,5150,5126,5138
20060626,0,5130,5140,5126,5130
20060627,0,5122,5136,5116,5136
20060628,0,5160,5160,5142,5142
20060629,0,5154,5180,5148,5178
20060630,0,5218,5218,5192,5204
20060703,0,5238,5258,5218,5222
20060704,0,5182,5226,5182,5190
20060705,0,5182,5208,5176,5180
20060706,0,5194,5200,5182,5186
20060707,0,5226,5232,5208,5220
20060710,0,5224,5224,5206,5206
20060711,0,5210,5258,5204,5252
20060712,0,5234,5244,5214,5230
20060713,0,5228,5238,5164,5234
20060714,0,5218,5250,5218,5250
20060717,0,5230.263158,5259.868421,5230.263158,5259.868421
20060718,0,5230.263158,5275.657895,5220.394737,5261.842105
20060719,0,5250,5259.868421,5230.263158,5238.157895
20060720,0,5238.157895,5250,5214.473684,5248.026316
20060721,0,5246.052632,5368.421053,5242.105263,5332.894737
20060724,0,5328.947368,5376.315789,5321.052632,5344.736842
20060725,0,5358.552632,5358.552632,5311.184211,5348.684211
20060726,0,5338.815789,5340.789474,5317.105263,5325
20060727,0,5328.947368,5352.631579,5315.131579,5338.815789
20060728,0,5344.736842,5380.263158,5325,5364.473684
20060731,0,5378.289474,5518.421053,5378.289474,5510.526316
20060801,0,5510.526316,5551.973684,5475,5520.394737
20060802,0,5520.394737,5579.605263,5488.815789,5508.552632
20060803,0,5506.578947,5551.973684,5494.736842,5528.289474
20060804,0,5498.684211,5522.368421,5451.315789,5480.921053
20060807,0,5467.105263,5526.315789,5439.473684,5480.921053
20060808,0,5471.052632,5500.657895,5451.315789,5473.026316
20060809,0,5476.973684,5524.342105,5476.973684,5518.421053
20060810,0,5528.289474,5579.605263,5528.289474,5573.684211
20060811,0,5553.947368,5575.657895,5538.157895,5550
20060814,0,5496.710526,5504.605263,5390.131579,5423.684211
20060815,0,5423.684211,5437.5,5378.289474,5431.578947
20060816,0,5447.368421,5459.210526,5409.868421,5423.684211
20060817,0,5417.763158,5423.684211,5394.078947,5417.763158
20060818,0,5417.763158,5417.763158,5364.473684,5366.447368
20060821,0,5354.605263,5400,5354.605263,5390.131579
20060822,0,5415.789474,5415.789474,5392.105263,5401.973684
20060823,0,5413.815789,5415.789474,5366.447368,5388.157895
