date,time,open,high,low,close
20070326,0,28600,29600,28580,29220
20070327,0,29550,29870,29500,29725
20070328,0,29495,29700,29420,29565
20070329,0,29510,29560,29010,29030
20070330,0,29430,29500,29180,29390
20070402,0,29390,29445,29250,29290
20070403,0,28935,28980,28660,28780
20070404,0,29250,29260,28980,28985
20070405,0,29700,30245,29540,30245
20070406,0,30245,31515,30105,31385
20070409,0,31550,32195,31550,32195
20070410,0,32850,33865,31980,32745
20070411,0,32800,32990,32020,32395
20070412,0,32535,33220,32370,32955
20070413,0,32000,32265,31600,31720
20070416,0,32055,32360,31860,32245
20070417,0,32100,32640,31855,32160
20070418,0,33590,33590,33400,33590
20070419,0,33790,34030,31560,32790
20070420,0,33000,33100,31990,32960
20070423,0,33280,33660,32400,32840
20070424,0,33980,34100,33460,34065
20070425,0,33335,33480,32860,33070
20070426,0,33365,33500,33120,33305
20070427,0,32500,32700,32160,32270
20070430,0,32310,32775,32120,32700
20070508,0,33705,33705,33705,33705
20070509,0,35590,35590,34500,34555
20070510,0,34190,34745,34105,34710
20070511,0,33800,34000,33205,33330
20070514,0,33860,33900,33330,33410
20070515,0,32600,32630,32255,32255
20070516,0,32300,32530,31435,31830
20070517,0,30525,31015,30520,30520
20070518,0,29720,30140,28900,29355
20070521,0,29545,30725,29545,30725
20070522,0,31350,32000,30565,30895
20070523,0,30110,30350,29920,30130
20070524,0,29910,30600,29910,30585
20070525,0,29310,29880,29310,29800
20070528,0,30650,30650,30650,30650
20070529,0,31200,31200,30120,30245
20070530,0,30200,30655,30005,30125
20070531,0,30365,30780,30295,30705
20070601,0,31010,31095,30490,30590
20070604,0,30600,30670,30150,30150
20070605,0,30480,30780,30360,30515
20070606,0,30255,30480,30210,30295
20070607,0,30000,30170,29800,29900
20070608,0,29900,29980,29620,29685
20070611,0,30010,30280,29730,30270
20070612,0,30490,30530,29960,29980
20070613,0,29900,30050,29780,29965
20070614,0,30010,30045,29730,29780
20070615,0,29850,29900,28820,28870
20070618,0,29080,29360,28785,29280
20070619,0,28980,28980,28615,28750
20070620,0,28610,29050,28580,28905
20070621,0,28805,28880,28680,28810
20070622,0,28480,28490,28110,28160
20070625,0,28205,28220,27090,27090
20070626,0,27270,27290,26445,26455
20070627,0,25900,25930,25620,25620
20070628,0,25420,26560,25390,26550
20070629,0,26420,26990,25860,26760
20070702,0,26415,26750,26165,26620
20070703,0,27100,27535,27000,27535
20070704,0,27255,27440,26605,26655
20070705,0,26900,27000,26510,26670
20070706,0,26555,26580,26150,26250
20070709,0,26325,27070,26320,26990
20070710,0,26810,26885,26520,26565
20070711,0,26510,26510,26215,26360
20070712,0,26880,26955,26560,26940
20070713,0,27000,27325,26830,27210
20070716,0,27255,27420,27030,27070
20070717,0,26800,27000,26680,26980
20070718,0,26910,27450,26900,27340
20070719,0,27340,27535,27250,27400
20070720,0,27810,28470,27810,28470
20070723,0,28820,29880,28780,29230
20070724,0,28950,29030,28470,28530
20070725,0,28600,28970,28600,28900
20070726,0,28400,29195,28280,29120
20070727,0,28310,28815,28120,28275
20070730,0,28300,28600,28255,28425
20070731,0,28530,28800,28530,28700
20070801,0,28820,29000,28080,28110
20070802,0,28320,28450,28035,28360
20070803,0,28325,28370,28155,28315
20070806,0,27350,27660,27350,27470
20070807,0,27960,27960,27580,27630
20070808,0,27960,28030,27710,27820
20070809,0,27860,28390,27805,28390
20070810,0,27950,28155,27780,27965
20070813,0,28160,28215,28000,28120
20070814,0,28150,28170,27905,28005
20070815,0,27710,27850,27630,27750
20070816,0,27610,27875,26700,27100
20070817,0,26120,26280,26120,26120
