date,open,high,low,close,volume
2015-01-05,1.155,1.199,1.15,1.199,2861911
2015-01-06,1.171,1.206,1.164,1.206,1869564
2015-01-07,1.21,1.21,1.185,1.195,1139443
2015-01-08,1.195,1.203,1.186,1.194,824704
2015-01-09,1.188,1.205,1.179,1.179,395600
2015-01-12,1.187,1.187,1.116,1.171,3020132
2015-01-13,1.151,1.178,1.151,1.169,686300
2015-01-14,1.173,1.175,1.155,1.157,566921
2015-01-15,1.158,1.167,1.151,1.167,518435
2015-01-16,1.167,1.176,1.166,1.172,864800
2015-01-19,1.13,1.168,1.107,1.123,1324300
2015-01-20,1.14,1.155,1.135,1.15,390200
2015-01-21,1.155,1.176,1.155,1.176,1008441
2015-01-22,1.179,1.185,1.172,1.183,805504
2015-01-23,1.182,1.183,1.17,1.173,701801
2015-01-26,1.178,1.196,1.173,1.195,850100
2015-01-27,1.197,1.199,1.177,1.194,632100
2015-01-28,1.18,1.195,1.18,1.18,1538400
2015-01-29,1.145,1.174,1.145,1.167,1658800
2015-01-30,1.169,1.177,1.161,1.162,1417193
2015-02-02,1.165,1.165,1.146,1.148,494500
2015-02-03,1.148,1.161,1.147,1.158,486617
2015-02-04,1.159,1.167,1.151,1.151,214200
2015-02-05,1.158,1.162,1.139,1.139,1128709
2015-02-06,1.141,1.142,1.121,1.129,327500
2015-02-09,1.123,1.143,1.123,1.143,198404
2015-02-10,1.149,1.149,1.141,1.145,568956
2015-02-11,1.149,1.161,1.149,1.16,125105
2015-02-12,1.161,1.171,1.161,1.171,496400
2015-02-13,1.176,1.188,1.176,1.18,727000
2015-02-16,1.184,1.191,1.184,1.191,315900
2015-02-17,1.194,1.196,1.192,1.193,1819600
2015-02-25,1.193,1.193,1.182,1.186,1903901
2015-02-26,1.19,1.198,1.187,1.198,4612044
2015-02-27,1.203,1.21,1.203,1.205,2059867
2015-03-02,1.202,1.209,1.202,1.209,6879332
2015-03-03,1.205,1.209,1.195,1.195,1876400
2015-03-04,1.2,1.217,1.199,1.217,5101058
2015-03-05,1.233,1.233,1.218,1.222,1887366
2015-03-06,1.23,1.232,1.218,1.218,2014304
2015-03-09,1.215,1.247,1.215,1.246,1313901
2015-03-10,1.226,1.255,1.226,1.251,1710400
2015-03-11,1.259,1.26,1.246,1.249,1357678
2015-03-12,1.25,1.252,1.242,1.249,430300
2015-03-13,1.253,1.262,1.25,1.262,223211
2015-03-16,1.266,1.294,1.266,1.293,2543381
2015-03-17,1.296,1.31,1.294,1.306,921400
