date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2015-07-21,600765,24.3,24.57,25.38,23.5,321903,797625472.0,7.44,-2.73,-0.69,4.14
2015-07-22,600765,24.7,25.56,26.71,24.55,360047,925486624.0,8.79,4.03,0.99,4.63
2015-07-23,600765,25.62,26.11,26.56,24.84,313872,804308032.0,6.73,2.15,0.55,4.03
2015-07-24,600765,26.12,26.11,27.68,25.61,421777,1124673344.0,7.93,0.0,0.0,5.42
2015-07-27,600765,25.8,23.5,26.8,23.5,387885,977147200.0,12.64,-10.0,-2.61,4.99
2015-07-28,600765,21.31,22.07,24.35,21.15,372979,828872432.0,13.62,-6.09,-1.43,4.79
2015-07-29,600765,22.91,24.28,24.28,21.9,307443,704415216.0,10.78,10.01,2.21,3.95
2015-07-30,600765,24.62,25.61,26.71,24.52,676840,1770833200.0,9.02,5.48,1.33,8.7
2015-07-31,600765,25.54,23.43,25.54,23.05,430882,1042934288.0,9.72,-8.51,-2.18,5.54
2015-08-03,600765,22.17,21.09,23.7,21.09,318149,703242448.0,11.14,-9.99,-2.34,4.09
2015-08-04,600765,21.52,23.2,23.2,21.52,242012,547432640.0,7.97,10.0,2.11,3.11
2015-08-05,600765,24.3,23.97,25.06,23.25,385317,932239184.0,7.8,3.32,0.77,4.95
2015-08-06,600765,23.05,24.31,25.1,23.0,274401,666624992.0,8.76,1.42,0.34,3.53
2015-08-07,600765,24.96,25.17,25.4,24.2,323817,803730112.0,4.94,3.54,0.86,4.16
2015-08-10,600765,25.8,27.04,27.5,25.3,431331,1137752624.0,8.74,7.43,1.87,5.54
2015-08-11,600765,27.1,26.83,27.65,26.29,426623,1149409728.0,5.03,-0.78,-0.21,5.48
2015-08-12,600765,28.0,29.51,29.51,27.51,835782,2442280128.0,7.45,9.99,2.68,10.74
2015-08-13,600765,28.2,30.39,30.49,27.35,703088,2006952016.0,10.64,2.98,0.88,9.04
2015-08-14,600765,29.88,29.4,30.29,29.0,488076,1446310448.0,4.24,-3.26,-0.99,6.27
2015-08-17,600765,28.99,29.19,30.16,28.75,381261,1122251808.0,4.8,-0.71,-0.21,4.9
2015-08-18,600765,29.0,26.27,29.17,26.27,409915,1128535152.0,9.93,-10.0,-2.92,5.27
2015-08-19,600765,24.5,26.27,26.88,23.7,345154,873955424.0,12.11,0.0,0.0,4.44
2015-08-20,600765,26.0,25.86,27.75,25.56,327853,870338208.0,8.34,-1.56,-0.41,4.21
2015-08-21,600765,25.88,25.45,27.14,23.5,337926,873820848.0,14.08,-1.59,-0.41,4.34
2015-08-24,600765,24.46,22.91,27.0,22.91,634675,1579458560.0,16.07,-9.98,-2.54,8.16
2015-08-25,600765,21.2,20.62,21.98,20.62,316156,663926912.0,5.94,-10.0,-2.29,4.06
2015-08-26,600765,20.79,18.56,21.18,18.56,439460,859227856.0,12.71,-9.99,-2.06,5.65
2015-08-27,600765,18.65,19.12,19.74,16.82,418779,773585360.0,15.73,3.02,0.56,5.38
2015-08-28,600765,19.2,21.03,21.03,19.18,478399,968290192.0,9.68,9.99,1.91,6.15
2015-08-31,600765,21.5,20.15,21.78,19.98,405545,851384592.0,8.56,-4.18,-0.88,5.21
2015-09-01,600765,19.5,18.14,19.5,18.14,260650,477807232.0,6.75,-9.98,-2.01,3.35
2015-09-02,600765,16.36,16.33,18.33,16.33,301452,502730944.0,11.03,-9.98,-1.81,3.87
2015-09-07,600765,16.38,15.31,17.33,15.05,297982,485790816.0,13.96,-6.25,-1.02,3.83
2015-09-08,600765,15.26,16.02,16.3,14.05,280111,420640576.0,14.7,4.64,0.71,3.6
2015-09-09,600765,16.12,16.79,17.0,15.9,333151,551901824.0,6.87,4.81,0.77,4.28
2015-09-10,600765,16.5,16.6,17.5,16.03,276655,468893216.0,8.76,-1.13,-0.19,3.56
2015-09-11,600765,16.62,16.43,16.85,16.1,167864,276644592.0,4.52,-1.02,-0.17,2.16
2015-09-14,600765,16.89,15.21,16.96,14.79,253013,399920896.0,13.21,-7.43,-1.22,3.25
2015-09-15,600765,14.7,13.69,14.89,13.69,223892,315767072.0,7.89,-9.99,-1.52,2.88
2015-09-16,600765,13.69,15.01,15.06,13.48,295315,416942048.0,11.54,9.64,1.32,3.8
2015-09-17,600765,14.9,14.25,15.87,14.01,315355,478831824.0,12.39,-5.06,-0.76,4.05
2015-09-18,600765,14.5,14.36,14.7,14.03,196423,281297632.0,4.7,0.77,0.11,2.52
2015-09-21,600765,14.08,15.58,15.61,14.06,289737,435893184.0,10.79,8.5,1.22,3.72
2015-09-22,600765,15.55,15.59,15.98,15.3,278711,436457904.0,4.36,0.06,0.01,3.58
2015-09-23,600765,15.21,15.32,15.7,15.05,198265,304878464.0,4.17,-1.73,-0.27,2.55
2015-09-24,600765,15.49,15.78,15.86,15.3,206100,322088112.0,3.66,3.0,0.46,2.65
2015-09-25,600765,15.65,15.02,16.0,14.7,188149,291304016.0,8.24,-4.82,-0.76,2.42
2015-09-28,600765,15.03,15.17,15.28,14.55,127902,190877690.0,4.86,1.0,0.15,1.64
2015-09-29,600765,14.72,14.4,14.84,14.32,138728,202382840.0,3.43,-5.08,-0.77,1.78
2015-09-30,600765,14.53,15.84,15.84,14.53,358445,554831312.0,9.1,10.0,1.44,4.61
2015-10-08,600765,16.9,16.48,17.18,16.29,405562,676515008.0,5.62,4.04,0.64,5.21
2015-10-09,600765,16.26,16.81,17.29,16.25,282363,476607568.0,6.31,2.0,0.33,3.63
2015-10-12,600765,17.33,17.79,18.24,17.2,334024,589475824.0,6.19,5.83,0.98,4.29
2015-10-13,600765,17.52,17.89,18.08,17.4,260395,461756672.0,3.82,0.56,0.1,3.35
2015-10-14,600765,18.0,17.66,18.69,17.61,259754,467973808.0,6.04,-1.29,-0.23,3.34
2015-10-16,600765,19.43,19.43,19.43,19.43,29978,58246360.0,0.0,10.02,1.77,0.39
2015-10-19,600765,21.37,21.37,21.37,21.01,352751,753438192.0,1.85,9.98,1.94,4.53
2015-10-20,600765,22.0,21.36,22.0,20.8,516781,1103390592.0,5.62,-0.05,-0.01,6.64
2015-10-21,600765,21.36,20.39,22.23,19.68,581694,1226880896.0,11.94,-4.54,-0.97,7.48
2015-10-22,600765,20.66,22.43,22.43,20.42,561322,1210017632.0,9.86,10.0,2.04,7.21
2015-10-23,600765,23.26,22.71,24.44,21.96,678480,1577683264.0,11.06,1.25,0.28,8.72
2015-10-26,600765,22.7,22.93,23.59,21.91,418585,956518368.0,7.4,0.97,0.22,5.38
2015-10-27,600765,22.61,23.63,23.85,21.7,464249,1071472224.0,9.38,3.05,0.7,5.97
2015-10-28,600765,23.65,22.21,23.65,21.96,303813,692412224.0,7.15,-6.01,-1.42,3.91
2015-10-29,600765,22.68,22.44,23.25,22.15,269809,613378176.0,4.95,1.04,0.23,3.47
2015-10-30,600765,22.44,22.31,23.29,22.01,235448,532680080.0,5.7,-0.58,-0.13,3.03
2015-11-02,600765,22.5,21.24,23.0,21.19,258551,576409632.0,8.11,-4.8,-1.07,3.32
2015-11-03,600765,21.58,21.87,21.9,20.58,286665,613809872.0,6.21,2.97,0.63,3.68
2015-11-04,600765,22.39,22.91,23.1,22.2,341071,773137312.0,4.12,4.76,1.04,4.38
2015-11-05,600765,22.85,23.12,24.15,22.6,497240,1167929040.0,6.77,0.92,0.21,6.39
2015-11-06,600765,23.05,23.62,24.18,22.88,386152,909536128.0,5.62,2.16,0.5,4.96
2015-11-09,600765,23.3,23.55,24.0,22.67,423059,992548992.0,5.63,-0.3,-0.07,5.44
2015-11-10,600765,23.56,24.88,25.91,23.4,575310,1410430208.0,10.66,5.65,1.33,7.39
2015-11-11,600765,24.79,24.5,24.79,23.8,399106,964968544.0,3.98,-1.53,-0.38,5.13
2015-11-12,600765,24.6,24.2,24.93,23.98,377339,920798112.0,3.88,-1.22,-0.3,4.85
2015-11-13,600765,23.99,23.19,24.31,23.05,295992,695818512.0,5.21,-4.17,-1.01,3.8
2015-11-16,600765,22.86,23.69,23.77,22.7,211605,493644400.0,4.61,2.16,0.5,2.72
2015-11-17,600765,23.8,24.0,25.5,23.52,538608,1310636992.0,8.36,1.31,0.31,6.92
2015-11-18,600765,23.82,22.81,24.25,22.46,295755,692495872.0,7.46,-4.96,-1.19,3.8
2015-11-19,600765,22.9,23.15,23.17,22.47,204243,467589840.0,3.07,1.49,0.34,2.63
2015-11-20,600765,23.15,23.3,24.03,23.03,310388,730326192.0,4.32,0.65,0.15,3.99
2015-11-23,600765,23.39,22.71,23.64,22.6,239737,555788032.0,4.46,-2.53,-0.59,3.08
2015-11-24,600765,22.55,22.49,22.79,21.8,172345,382994752.0,4.36,-0.97,-0.22,2.22
2015-11-25,600765,22.99,22.81,23.25,22.65,179318,410577232.0,2.67,1.42,0.32,2.3
2015-11-26,600765,22.84,22.85,23.23,22.46,217419,496508224.0,3.38,0.18,0.04,2.79
2015-11-27,600765,23.23,20.84,23.47,20.68,308687,689022096.0,12.21,-8.8,-2.01,3.97
2015-11-30,600765,20.88,20.37,21.37,19.11,238537,486339792.0,10.84,-2.26,-0.47,3.07
2015-12-01,600765,20.33,20.15,20.6,19.9,166099,336397280.0,3.44,-1.08,-0.22,2.13
2015-12-02,600765,20.16,20.27,20.35,19.19,152441,302126336.0,5.76,0.6,0.12,1.96
2015-12-03,600765,20.25,20.83,20.87,20.21,142972,293043376.0,3.26,2.76,0.56,1.84
2015-12-04,600765,20.69,20.21,20.89,20.11,139976,286147264.0,3.74,-2.98,-0.62,1.8
2015-12-07,600765,20.29,20.44,20.68,19.95,111871,227502620.0,3.61,1.14,0.23,1.44
2015-12-08,600765,20.21,19.52,20.33,19.5,122240,242936386.0,4.06,-4.5,-0.92,1.57
2015-12-09,600765,19.25,19.96,20.42,19.05,174751,343614240.0,7.02,2.25,0.44,2.25
2015-12-10,600765,19.75,19.39,19.9,19.21,113391,222050151.0,3.46,-2.86,-0.57,1.46
2015-12-11,600765,19.3,19.54,19.99,19.08,110631,216811069.0,4.69,0.77,0.15,1.42
2015-12-14,600765,19.3,20.0,20.03,19.2,109917,216412783.0,4.25,2.35,0.46,1.41
2015-12-15,600765,20.13,20.07,20.46,19.95,108642,219058902.0,2.55,0.35,0.07,1.4
2015-12-16,600765,20.15,19.96,20.19,19.88,92491,185036723.0,1.54,-0.55,-0.11,1.19
2015-12-17,600765,20.18,20.48,20.5,20.03,152522,309921968.0,2.35,2.61,0.52,1.96
2015-12-18,600765,20.48,20.33,20.58,20.14,106409,216395530.0,2.15,-0.73,-0.15,1.37
2015-12-21,600765,20.33,20.57,20.74,20.2,136840,280165152.0,2.66,1.18,0.24,1.76
2015-12-22,600765,20.61,20.79,21.06,20.5,132546,275272608.0,2.72,1.07,0.22,1.7
2015-12-23,600765,20.8,20.33,20.88,20.25,127183,262022762.0,3.03,-2.21,-0.46,1.63
2015-12-24,600765,20.22,19.8,20.45,19.25,136561,269214960.0,5.9,-2.61,-0.53,1.76
2015-12-25,600765,19.7,19.78,19.9,19.68,76536,151362101.0,1.11,-0.1,-0.02,0.98
2015-12-28,600765,19.87,19.26,20.11,19.23,95510,188966895.0,4.45,-2.63,-0.52,1.23
2015-12-29,600765,19.26,19.59,19.64,19.15,73083,141809753.0,2.54,1.71,0.33,0.94
2015-12-30,600765,19.59,20.17,20.25,19.58,138490,276435360.0,3.42,2.96,0.58,1.78
2015-12-31,600765,20.0,19.64,20.33,19.6,92903,186115672.0,3.62,-2.63,-0.53,1.19
2016-01-04,600765,20.08,18.08,20.36,17.8,119493,235307063.0,13.03,-7.94,-1.56,1.54
2016-01-05,600765,16.4,18.04,18.62,16.4,185417,329229360.0,12.28,-0.22,-0.04,2.38
2016-01-06,600765,18.2,18.31,18.54,17.88,118831,216510561.0,3.66,1.5,0.27,1.53
2016-01-07,600765,18.0,16.48,18.0,16.48,38933,66440064.0,8.3,-9.99,-1.83,0.5
2016-01-08,600765,16.48,16.48,17.19,15.5,215628,353260736.0,10.25,0.0,0.0,2.77
2016-01-11,600765,15.95,14.83,16.12,14.83,192136,295532256.0,7.83,-10.01,-1.65,2.47
2016-01-12,600765,14.88,14.85,15.14,14.2,122758,180314763.0,6.34,0.13,0.02,1.58
2016-01-13,600765,15.08,13.74,15.24,13.58,120037,176793138.0,11.18,-7.47,-1.11,1.54
2016-01-14,600765,13.49,15.11,15.11,13.34,165457,235848927.0,12.88,9.97,1.37,2.13
2016-01-15,600765,15.27,15.36,16.1,14.99,299243,467202176.0,7.35,1.65,0.25,3.85
2016-01-18,600765,14.86,15.84,16.1,14.8,202319,314017056.0,8.46,3.13,0.48,2.6
2016-01-19,600765,15.7,16.91,17.42,15.25,277439,451897360.0,13.7,6.76,1.07,3.57
2016-01-20,600765,16.6,16.97,17.59,16.5,293091,501309936.0,6.45,0.35,0.06,3.77
2016-01-21,600765,16.7,15.79,17.27,15.68,192170,319748208.0,9.37,-6.95,-1.18,2.47
2016-01-22,600765,15.99,17.0,17.3,15.6,215826,355568336.0,10.77,7.66,1.21,2.77
2016-01-25,600765,17.0,17.35,17.67,16.85,189944,327727872.0,4.82,2.06,0.35,2.44
2016-01-26,600765,16.56,15.62,17.07,15.62,240555,393492400.0,8.36,-9.97,-1.73,3.09
2016-01-27,600765,15.58,16.96,17.18,14.2,311863,485840176.0,19.08,8.58,1.34,4.01
2016-01-28,600765,16.38,15.26,16.73,15.26,205502,332450432.0,8.67,-10.02,-1.7,2.64
2016-01-29,600765,14.95,15.47,15.93,14.43,191812,293507248.0,9.83,1.38,0.21,2.47
2016-02-01,600765,15.47,15.03,15.71,14.55,145444,222046567.0,7.5,-2.84,-0.44,1.87
2016-02-02,600765,15.15,15.88,16.36,15.14,218097,344939920.0,8.12,5.66,0.85,2.8
2016-02-03,600765,15.6,15.8,16.02,15.3,139206,217749995.0,4.53,-0.5,-0.08,1.79
2016-02-04,600765,15.77,16.1,16.47,15.77,173753,280697184.0,4.43,1.9,0.3,2.23
2016-02-05,600765,16.2,16.0,16.5,15.83,156700,252995080.0,4.16,-0.62,-0.1,2.01
2016-02-15,600765,15.3,16.0,16.12,15.29,120530,190376779.0,5.19,0.0,0.0,1.55
2016-02-16,600765,16.21,16.75,16.98,16.11,181558,301118288.0,5.44,4.69,0.75,2.33
2016-02-17,600765,16.85,17.09,17.57,16.8,226305,388375696.0,4.6,2.03,0.34,2.91
2016-02-18,600765,17.15,16.7,17.17,16.62,169785,286155648.0,3.22,-2.28,-0.39,2.18
2016-02-19,600765,16.61,16.86,17.1,16.51,136975,230122363.0,3.53,0.96,0.16,1.76
2016-02-22,600765,17.01,17.18,17.19,16.88,160770,274263872.0,1.84,1.9,0.32,2.07
2016-02-23,600765,17.33,16.85,17.33,16.58,151504,256541767.0,4.37,-1.92,-0.33,1.95
2016-02-24,600765,16.71,17.46,17.5,16.68,249286,429545680.0,4.87,3.62,0.61,3.2
2016-02-25,600765,17.66,15.71,17.66,15.71,221121,367415264.0,11.17,-10.02,-1.75,2.84
2016-02-26,600765,15.96,15.5,16.2,15.1,168860,266458072.0,7.0,-1.34,-0.21,2.17
2016-02-29,600765,15.22,14.29,15.37,13.95,176299,251856193.0,9.16,-7.81,-1.21,2.27
2016-03-01,600765,14.4,14.61,14.88,14.05,142071,206323560.0,5.81,2.24,0.32,1.83
2016-03-02,600765,14.79,15.52,15.56,14.5,160214,241400131.0,7.26,6.23,0.91,2.06
2016-03-03,600765,15.68,15.45,16.12,15.41,182887,287025872.0,4.57,-0.45,-0.07,2.35
2016-03-04,600765,15.51,15.19,16.0,14.7,182948,283689600.0,8.41,-1.68,-0.26,2.35
2016-03-07,600765,15.45,15.5,15.65,15.2,114165,176363745.0,2.96,2.04,0.31,1.47
2016-03-08,600765,15.49,15.27,15.49,14.56,129177,193279525.0,6.0,-1.48,-0.23,1.66
2016-03-09,600765,14.97,14.91,15.57,14.7,113529,171683563.0,5.7,-2.36,-0.36,1.46
2016-03-10,600765,14.93,14.51,15.12,14.5,99503,146765631.0,4.16,-2.68,-0.4,1.28
2016-03-11,600765,14.41,14.43,14.7,14.28,75194,108706101.0,2.89,-0.55,-0.08,0.97
2016-03-14,600765,14.64,15.01,15.22,14.58,114833,171517758.0,4.44,4.02,0.58,1.48
2016-03-15,600765,14.92,15.02,15.35,14.89,111088,167489480.0,3.06,0.07,0.01,1.43
2016-03-16,600765,15.09,14.67,15.2,14.55,83212,123308199.0,4.33,-2.33,-0.35,1.07
2016-03-17,600765,14.7,15.14,15.2,14.7,140708,211618503.0,3.41,3.2,0.47,1.81
2016-03-18,600765,15.15,15.77,15.85,15.1,221638,344632224.0,4.95,4.16,0.63,2.85
2016-03-21,600765,15.93,16.2,16.23,15.6,227838,363441472.0,3.99,2.73,0.43,2.93
2016-03-22,600765,15.98,16.11,16.5,15.88,241436,391873936.0,3.83,-0.56,-0.09,3.1
2016-03-23,600765,16.08,16.02,16.19,15.77,142327,227107543.0,2.61,-0.56,-0.09,1.83
2016-03-24,600765,15.88,16.31,16.48,15.68,264305,429207680.0,4.99,1.81,0.29,3.4
2016-03-25,600765,16.3,16.25,16.53,16.0,170677,277825616.0,3.25,-0.37,-0.06,2.19
2016-03-28,600765,16.4,15.83,16.58,15.8,185101,299651488.0,4.8,-2.58,-0.42,2.38
2016-03-29,600765,15.74,15.28,15.86,15.13,120972,187061489.0,4.61,-3.47,-0.55,1.55
2016-03-30,600765,15.43,15.75,15.77,15.4,113201,176230047.0,2.42,3.08,0.47,1.46
2016-03-31,600765,15.76,15.68,16.06,15.58,150852,238396117.0,3.05,-0.44,-0.07,1.94
2016-04-01,600765,15.6,15.57,15.73,15.2,104830,162027350.0,3.38,-0.7,-0.11,1.35
2016-04-05,600765,15.55,16.03,16.12,15.45,152214,240626062.0,4.3,2.95,0.46,1.96
2016-04-06,600765,15.94,16.19,16.25,15.76,171382,274417440.0,3.06,1.0,0.16,2.2
2016-04-07,600765,16.19,15.69,16.23,15.66,128586,204534901.0,3.52,-3.09,-0.5,1.65
2016-04-08,600765,15.47,15.5,15.86,15.31,102844,160006731.0,3.51,-1.21,-0.19,1.32
2016-04-11,600765,15.63,15.8,15.91,15.63,92524,145917756.0,1.81,1.94,0.3,1.19
2016-04-12,600765,15.81,15.94,15.95,15.7,105864,167513205.0,1.58,0.89,0.14,1.36
