rank,m_fast,m_slow,m_signal,buy_signal,sell_signal,w_confirm,trailing_stop,take_profit,max_positions,annualized,mdd,sharpe,calmar,combined,trades,win_rate,avg_hold_days
1,6,15,3,2,2,0,0,30,3,49.9483,13.2981,2.5218,3.7560,3.1389,160,75.0000,42
2,6,15,3,0,2,0,0.0000,30.0000,3,49.9483,13.2981,2.5218,3.7560,3.1389,160,75.0000,42
3,6,15,3,0,2,0,15.0000,30.0000,5,44.1979,12.2068,2.4938,3.6208,3.0573,270,70.7407,38
4,6,15,3,2,2,0,15.0000,30.0000,5,44.1979,12.2068,2.4938,3.6208,3.0573,270,70.7407,38
5,6,17,3,2,2,0,15.0000,30.0000,2,49.1255,13.2496,2.3662,3.7077,3.0370,113,78.7611,40
6,6,17,3,0,2,0,15.0000,30.0000,2,49.1255,13.2496,2.3662,3.7077,3.0370,113,78.7611,40
7,6,15,3,2,2,0,0.0000,50.0000,5,42.7111,11.9509,2.4349,3.5739,3.0044,223,69.9552,48
8,6,15,3,0,2,0,0.0000,50.0000,5,42.7111,11.9509,2.4349,3.5739,3.0044,223,69.9552,48
9,6,15,3,0,2,0,0.0000,30.0000,5,42.2870,11.9446,2.4458,3.5403,2.9930,240,72.0833,44
10,6,15,3,2,2,0,0.0000,30.0000,5,42.2870,11.9446,2.4458,3.5403,2.9930,240,72.0833,44
11,6,15,3,0,2,0,15.0000,50.0000,5,43.2438,12.2562,2.3878,3.5283,2.9580,255,69.4118,41
12,6,15,3,2,2,0,15.0000,50.0000,5,43.2438,12.2562,2.3878,3.5283,2.9580,255,69.4118,41
13,6,17,3,0,2,0,15.0000,30.0000,3,47.9593,13.7135,2.4117,3.4972,2.9545,165,75.1515,40
14,6,17,3,2,2,0,15.0000,30.0000,3,47.9593,13.7135,2.4117,3.4972,2.9545,165,75.1515,40
15,6,15,3,0,2,0,15.0000,30.0000,3,47.4459,14.0979,2.4915,3.3655,2.9285,165,76.3636,40
16,6,15,3,2,2,0,15.0000,30.0000,3,47.4459,14.0979,2.4915,3.3655,2.9285,165,76.3636,40
17,8,15,3,0,2,0,15.0000,30.0000,5,41.8249,12.7273,2.3821,3.2862,2.8342,256,69.1406,40
18,8,15,3,2,2,0,15.0000,30.0000,5,41.8249,12.7273,2.3821,3.2862,2.8342,256,69.1406,40
19,6,15,3,2,2,0,15.0000,30.0000,2,49.3718,15.3161,2.4108,3.2235,2.8171,115,80.8696,39
20,6,15,3,0,2,0,15.0000,30.0000,2,49.3718,15.3161,2.4108,3.2235,2.8171,115,80.8696,39
21,6,17,3,2,2,0,20.0000,30.0000,2,51.9912,16.6970,2.4463,3.1138,2.7801,112,76.7857,41
22,6,17,3,0,2,0,20.0000,30.0000,2,51.9912,16.6970,2.4463,3.1138,2.7801,112,76.7857,41
23,6,15,3,2,2,0,20.0000,30.0000,5,42.8595,14.0071,2.4587,3.0598,2.7593,257,70.8171,40
24,6,15,3,0,2,0,20.0000,30.0000,5,42.8595,14.0071,2.4587,3.0598,2.7593,257,70.8171,40
25,6,17,3,2,2,0,20.0000,30.0000,3,46.2984,14.6513,2.3532,3.1600,2.7566,157,77.0701,43
26,6,17,3,0,2,0,20.0000,30.0000,3,46.2984,14.6513,2.3532,3.1600,2.7566,157,77.0701,43
27,6,17,3,0,2,0,15.0000,50.0000,5,41.6213,13.4248,2.3507,3.1003,2.7255,251,68.5259,41
28,6,17,3,2,2,0,15.0000,50.0000,5,41.6213,13.4248,2.3507,3.1003,2.7255,251,68.5259,41
29,8,15,3,0,2,0,15.0000,50.0000,5,39.1895,12.3427,2.2722,3.1751,2.7236,232,69.8276,45
30,8,15,3,2,2,0,15.0000,50.0000,5,39.1895,12.3427,2.2722,3.1751,2.7236,232,69.8276,45
31,6,15,3,0,2,0,20.0000,30.0000,3,45.9562,14.9374,2.3622,3.0766,2.7194,160,76.2500,42
32,6,15,3,2,2,0,20.0000,30.0000,3,45.9562,14.9374,2.3622,3.0766,2.7194,160,76.2500,42
33,6,15,3,0,2,0,20.0000,50.0000,5,43.4856,14.3007,2.3936,3.0408,2.7172,239,70.7113,44
34,6,15,3,2,2,0,20.0000,50.0000,5,43.4856,14.3007,2.3936,3.0408,2.7172,239,70.7113,44
35,8,15,3,2,2,0,15.0000,30.0000,3,48.7190,16.0682,2.3876,3.0320,2.7098,168,71.4286,39
36,8,15,3,0,2,0,15.0000,30.0000,3,48.7190,16.0682,2.3876,3.0320,2.7098,168,71.4286,39
37,6,17,3,0,2,0,0.0000,50.0000,5,42.9497,14.4244,2.4339,2.9776,2.7057,220,71.3636,49
38,6,17,3,2,2,0,0.0000,50.0000,5,42.9497,14.4244,2.4339,2.9776,2.7057,220,71.3636,49
39,6,20,3,0,2,0,15.0000,30.0000,5,39.7533,12.4306,2.2045,3.1980,2.7013,254,71.6535,41
40,6,20,3,2,2,0,15.0000,30.0000,5,39.7533,12.4306,2.2045,3.1980,2.7013,254,71.6535,41
41,6,28,5,0,2,0,15.0000,30.0000,5,35.5504,10.6058,2.0445,3.3520,2.6982,222,68.0180,44
42,6,28,5,2,2,0,15.0000,30.0000,5,35.5504,10.6058,2.0445,3.3520,2.6982,222,68.0180,44
43,8,17,3,2,2,0,15.0000,30.0000,3,47.7785,16.0682,2.3614,2.9735,2.6674,164,71.3415,40
44,8,17,3,0,2,0,15.0000,30.0000,3,47.7785,16.0682,2.3614,2.9735,2.6674,164,71.3415,40
45,6,17,3,0,2,0,15.0000,50.0000,2,47.3179,14.9884,2.1158,3.1570,2.6364,106,74.5283,43
46,6,17,3,2,2,0,15.0000,50.0000,2,47.3179,14.9884,2.1158,3.1570,2.6364,106,74.5283,43
47,10,15,3,0,2,0,15.0000,30.0000,5,38.8436,12.6388,2.1868,3.0734,2.6301,243,69.5473,42
48,10,15,3,2,2,0,15.0000,30.0000,5,38.8436,12.6388,2.1868,3.0734,2.6301,243,69.5473,42
49,6,15,3,2,2,0,15.0000,50.0000,2,47.8639,15.3161,2.1323,3.1251,2.6287,115,78.2609,39
50,6,15,3,0,2,0,15.0000,50.0000,2,47.8639,15.3161,2.1323,3.1251,2.6287,115,78.2609,39
51,6,15,3,2,2,0,15.0000,0.0000,2,52.7095,16.9720,2.1382,3.1057,2.6219,113,77.8761,41
52,6,15,3,0,2,0,15.0000,0.0000,2,52.7095,16.9720,2.1382,3.1057,2.6219,113,77.8761,41
53,6,15,3,2,2,0,0.0000,30.0000,2,47.3795,15.9996,2.2578,2.9613,2.6095,105,79.0476,44
54,6,15,3,0,2,0,0.0000,30.0000,2,47.3795,15.9996,2.2578,2.9613,2.6095,105,79.0476,44
55,8,17,3,2,2,0,15.0000,50.0000,5,37.1932,12.3427,2.1816,3.0134,2.5975,226,69.4690,46
56,8,17,3,0,2,0,15.0000,50.0000,5,37.1932,12.3427,2.1816,3.0134,2.5975,226,69.4690,46
57,6,17,5,2,2,0,15.0000,30.0000,5,39.9789,13.8101,2.2891,2.8949,2.5920,251,70.9163,40
58,6,17,5,0,2,0,15.0000,30.0000,5,39.9789,13.8101,2.2891,2.8949,2.5920,251,70.9163,40
59,6,15,5,0,2,0,15.0000,30.0000,5,39.2620,13.5087,2.2656,2.9064,2.5860,254,71.6535,39
60,6,15,5,2,2,0,15.0000,30.0000,5,39.2620,13.5087,2.2656,2.9064,2.5860,254,71.6535,39
61,12,17,3,0,2,0,15.0000,50.0000,5,36.6867,12.3513,2.1993,2.9703,2.5848,201,66.1692,51
62,12,17,3,2,2,0,15.0000,50.0000,5,36.6867,12.3513,2.1993,2.9703,2.5848,201,66.1692,51
63,6,20,3,2,2,0,15.0000,30.0000,3,47.1887,15.8675,2.1948,2.9739,2.5844,177,71.1864,37
64,6,20,3,0,2,0,15.0000,30.0000,3,47.1887,15.8675,2.1948,2.9739,2.5844,177,71.1864,37
65,6,15,5,2,2,0,15.0000,50.0000,5,39.7831,13.5087,2.2175,2.9450,2.5813,246,71.1382,41
66,6,15,5,0,2,0,15.0000,50.0000,5,39.7831,13.5087,2.2175,2.9450,2.5813,246,71.1382,41
67,6,20,3,2,2,0,0.0000,50.0000,5,40.3406,14.4300,2.3396,2.7956,2.5676,222,68.4685,49
68,6,20,3,0,2,0,0.0000,50.0000,5,40.3406,14.4300,2.3396,2.7956,2.5676,222,68.4685,49
69,6,15,3,0,2,0,20.0000,50.0000,3,45.4738,16.1996,2.3248,2.8071,2.5659,142,74.6479,48
70,6,15,3,2,2,0,20.0000,50.0000,3,45.4738,16.1996,2.3248,2.8071,2.5659,142,74.6479,48
71,14,15,3,0,2,0,15.0000,50.0000,5,37.0234,12.4140,2.1393,2.9824,2.5609,209,66.9856,50
72,14,15,3,2,2,0,15.0000,50.0000,5,37.0234,12.4140,2.1393,2.9824,2.5609,209,66.9856,50
73,8,17,3,2,2,0,15.0000,30.0000,5,38.9521,13.9296,2.2925,2.7964,2.5444,241,71.3693,43
74,8,17,3,0,2,0,15.0000,30.0000,5,38.9521,13.9296,2.2925,2.7964,2.5444,241,71.3693,43
75,10,15,3,0,2,0,15.0000,50.0000,2,48.2275,15.8812,2.0506,3.0368,2.5437,102,71.5686,44
76,10,15,3,2,2,0,15.0000,50.0000,2,48.2275,15.8812,2.0506,3.0368,2.5437,102,71.5686,44
77,6,17,3,0,2,0,0.0000,50.0000,2,45.2124,14.9506,2.0619,3.0241,2.5430,89,74.1573,53
78,6,17,3,2,2,0,0.0000,50.0000,2,45.2124,14.9506,2.0619,3.0241,2.5430,89,74.1573,53
79,6,20,3,0,2,0,0.0000,30.0000,5,38.4249,13.5992,2.2445,2.8255,2.5350,229,72.4891,47
80,6,20,3,2,2,0,0.0000,30.0000,5,38.4249,13.5992,2.2445,2.8255,2.5350,229,72.4891,47
81,6,20,3,2,2,0,15.0000,50.0000,5,38.5068,13.4995,2.2161,2.8525,2.5343,248,67.3387,42
82,6,20,3,0,2,0,15.0000,50.0000,5,38.5068,13.4995,2.2161,2.8525,2.5343,248,67.3387,42
83,6,17,3,2,2,0,15.0000,50.0000,3,44.8837,16.2051,2.2954,2.7697,2.5326,152,72.3684,44
84,6,17,3,0,2,0,15.0000,50.0000,3,44.8837,16.2051,2.2954,2.7697,2.5326,152,72.3684,44
85,6,17,5,2,2,0,15.0000,50.0000,5,39.9312,14.3523,2.2416,2.7822,2.5119,235,70.6383,44
86,6,17,5,0,2,0,15.0000,50.0000,5,39.9312,14.3523,2.2416,2.7822,2.5119,235,70.6383,44
87,6,28,3,2,2,0,15.0000,30.0000,5,36.1785,12.5956,2.1411,2.8723,2.5067,234,69.6581,44
88,6,28,3,0,2,0,15.0000,30.0000,5,36.1785,12.5956,2.1411,2.8723,2.5067,234,69.6581,44
89,8,15,3,0,2,0,20.0000,30.0000,5,37.7598,13.5760,2.2265,2.7814,2.5040,236,70.3390,44
90,8,15,3,2,2,0,20.0000,30.0000,5,37.7598,13.5760,2.2265,2.7814,2.5040,236,70.3390,44
91,14,15,3,0,2,0,15.0000,50.0000,3,42.5901,14.7368,2.1108,2.8900,2.5004,135,68.1481,48
92,14,15,3,2,2,0,15.0000,50.0000,3,42.5901,14.7368,2.1108,2.8900,2.5004,135,68.1481,48
93,6,17,3,0,2,0,0.0000,30.0000,3,41.1938,14.4754,2.1520,2.8458,2.4989,138,77.5362,49
94,6,17,3,2,2,0,0.0000,30.0000,3,41.1938,14.4754,2.1520,2.8458,2.4989,138,77.5362,49
95,12,20,3,0,2,0,15.0000,50.0000,5,35.4845,12.3193,2.1104,2.8804,2.4954,190,67.8947,56
96,12,20,3,2,2,0,15.0000,50.0000,5,35.4845,12.3193,2.1104,2.8804,2.4954,190,67.8947,56
97,12,17,3,0,2,0,15.0000,50.0000,2,45.8279,15.7197,2.0658,2.9153,2.4906,89,69.6629,50
98,12,17,3,2,2,0,15.0000,50.0000,2,45.8279,15.7197,2.0658,2.9153,2.4906,89,69.6629,50
99,8,15,3,0,2,0,20.0000,30.0000,2,45.0753,15.8757,2.1267,2.8393,2.4830,101,74.2574,45
100,8,15,3,2,2,0,20.0000,30.0000,2,45.0753,15.8757,2.1267,2.8393,2.4830,101,74.2574,45
