stock_code,data_points,date_start,date_end,length0,p1,p2,p3,in_sample_return_pct,out_of_sample_return_pct,full_return_pct
000002,2294,2015-07-21,2025-07-18,5,3,15,15,129.73,12.47,138.65
000004,2227,2015-07-21,2025-07-18,4,2,15,2,116.71,-78.53,41.72
000006,2312,2015-07-21,2025-07-18,5,4,9,2,-5.52,71.37,66.51
000007,1974,2015-11-23,2025-07-18,3,4,12,6,69.74,1.80,65.54
000008,2355,2015-07-21,2025-07-18,15,14,3,8,-12.10,-82.52,-93.94
000009,2409,2015-08-18,2025-07-18,15,15,3,2,369.43,-29.65,143.73
000010,2421,2015-07-21,2025-07-18,3,2,6,2,-20.20,35.29,12.59
000011,2429,2015-07-21,2025-07-18,6,6,11,3,172.73,-29.21,143.52
000012,2429,2015-07-21,2025-07-18,6,15,15,8,134.74,-56.44,8.30
000014,2429,2015-07-21,2025-07-18,3,11,14,9,31.49,57.04,87.37
000016,2356,2015-09-11,2025-07-18,6,3,15,7,111.19,5.44,116.15
000017,2395,2015-07-21,2025-07-18,4,3,12,2,54.30,18.38,61.02
000019,2272,2015-07-21,2025-07-18,6,5,11,13,86.82,-5.15,76.91
000020,2342,2015-07-21,2025-07-18,7,12,8,4,-9.69,-10.18,-19.88
000021,2428,2015-07-21,2025-07-18,14,11,13,15,129.75,44.89,176.53
000025,2413,2015-07-21,2025-07-18,3,5,13,15,100.98,-15.35,78.79
000026,2429,2015-07-21,2025-07-18,3,6,8,15,94.43,58.61,152.79
000027,2429,2015-07-21,2025-07-18,3,2,10,6,18.58,-14.21,-17.48
000028,2318,2015-07-21,2025-07-18,8,3,12,2,17.71,24.41,44.97
000029,1423,2015-07-21,2025-07-18,3,13,14,8,62.84,25.66,84.93
000030,2422,2015-07-21,2025-07-18,3,2,2,6,46.80,6.29,53.09
000031,2241,2015-07-21,2025-07-18,14,15,7,15,-41.49,2.27,-35.17
000032,2275,2015-07-21,2025-07-18,3,7,12,10,89.89,42.81,132.69
000034,2077,2015-08-28,2025-07-18,6,14,9,11,127.28,55.57,188.17
000035,2147,2015-07-21,2025-07-18,13,5,6,15,79.83,-9.86,37.41
000036,2429,2015-07-21,2025-07-18,3,4,10,10,80.60,31.55,88.07
000037,2309,2015-07-21,2025-07-18,3,7,5,13,162.83,-7.10,143.03
000039,2424,2015-07-21,2025-07-18,9,12,14,12,43.11,-36.23,0.24
000042,2286,2015-07-21,2025-07-18,11,13,8,15,6.70,4.04,13.24
000045,2326,2015-07-21,2025-07-18,3,6,6,12,55.72,-18.14,42.43
000048,2256,2015-07-21,2025-07-18,3,3,10,13,25.18,41.99,65.37
000049,2423,2015-07-21,2025-07-18,8,12,5,7,112.25,-9.75,89.30
000050,2299,2015-07-21,2025-07-18,4,10,2,6,22.17,-7.19,13.06
000055,2427,2015-07-21,2025-07-18,10,3,6,14,118.38,-32.51,79.22
000056,2320,2015-07-21,2025-07-18,3,3,10,15,-25.58,121.64,91.37
000058,2347,2015-07-21,2025-07-18,3,7,13,8,52.36,16.32,78.19
000059,2428,2015-07-21,2025-07-18,3,12,10,9,101.16,-17.49,61.52
000060,2428,2015-07-21,2025-07-18,3,6,3,3,-55.07,-25.74,-80.34
000061,2354,2015-07-21,2025-07-18,3,2,4,7,-19.05,14.61,-2.30
000062,2393,2015-07-21,2025-07-18,7,3,9,11,-6.49,-3.03,-8.78
000063,2358,2015-07-21,2025-07-18,13,13,15,2,138.54,53.14,171.51
000065,2320,2015-07-21,2025-07-18,3,8,14,8,27.26,33.03,59.93
000066,2254,2016-03-10,2025-07-18,5,6,6,6,93.76,64.15,156.77
000068,2428,2015-07-21,2025-07-18,3,2,12,11,44.43,-60.77,-10.98
000069,2429,2015-07-21,2025-07-18,4,5,14,15,20.83,9.67,25.99
000070,2421,2015-07-21,2025-07-18,6,10,7,7,46.74,75.03,118.42
000078,2429,2015-07-21,2025-07-18,6,12,11,3,7.52,-25.91,-18.39
000088,2413,2015-07-21,2025-07-18,3,4,13,9,73.79,-4.51,71.78
000089,2429,2015-07-21,2025-07-18,4,13,5,9,34.04,-18.80,16.77
000090,2424,2015-07-21,2025-07-18,12,3,2,7,23.51,13.49,35.56
000096,2429,2015-07-21,2025-07-18,15,3,14,4,-56.87,35.33,-22.33
000099,2306,2015-07-21,2025-07-18,3,6,15,15,20.67,90.20,95.30
000100,2263,2015-07-21,2025-07-18,6,9,15,10,100.77,-6.80,92.23
000151,2419,2015-07-21,2025-07-18,7,2,13,13,22.17,-16.01,4.39
000153,2172,2015-07-21,2025-07-18,6,15,6,12,90.44,31.77,104.03
000155,1991,2015-07-21,2025-07-18,11,4,13,6,228.28,-35.27,187.12
000156,2301,2015-07-21,2025-07-18,10,8,7,10,18.60,24.45,34.09
000157,2429,2015-07-21,2025-07-18,4,3,3,11,92.01,26.45,118.46
000158,2420,2015-07-21,2025-07-18,3,2,4,15,131.72,122.20,253.93
000159,2317,2015-07-21,2025-07-18,5,7,11,14,106.13,-33.69,68.87
000166,2404,2015-07-21,2025-07-18,7,9,14,4,-28.71,28.63,1.64
000301,2258,2015-07-21,2025-07-18,3,9,5,4,120.33,-1.81,114.55
000333,2379,2015-07-21,2025-07-18,9,14,15,4,84.55,-36.83,43.20
000338,2427,2015-07-21,2025-07-18,3,4,13,12,58.00,-15.80,44.41
000400,2429,2015-07-21,2025-07-18,14,14,14,14,-15.72,19.80,39.88
000401,2289,2015-07-21,2025-07-18,10,5,5,6,110.18,-31.87,65.37
000402,2429,2015-07-21,2025-07-18,6,10,5,15,12.88,-25.88,-13.00
000403,2264,2015-11-12,2025-07-18,4,3,13,5,78.66,-90.13,-6.80
000404,2420,2015-07-21,2025-07-18,4,12,12,4,44.67,14.82,58.15
000407,2335,2015-07-21,2025-07-18,3,4,8,14,89.10,-34.55,32.92
000408,2373,2015-07-21,2025-07-18,10,6,2,12,429.22,35.50,185.86
000409,2237,2015-07-21,2025-07-18,4,2,5,4,94.86,80.67,180.31
000410,2396,2015-07-21,2025-07-18,3,7,4,14,4.39,44.33,51.84
000411,2408,2015-07-21,2025-07-18,12,10,2,2,67.69,-46.81,20.88
000415,2117,2015-07-21,2025-07-18,5,8,2,14,-46.58,58.69,12.11
000417,2429,2015-07-21,2025-07-18,15,11,7,6,-3.04,-37.82,-42.47
000419,2429,2015-07-21,2025-07-18,5,3,12,14,12.28,-9.51,3.90
000420,2404,2015-07-21,2025-07-18,12,3,14,10,120.46,95.60,130.26
000421,2409,2015-07-21,2025-07-18,4,3,3,2,37.62,57.00,94.63
000422,2387,2015-07-21,2025-07-18,12,9,13,2,358.79,22.30,174.29
000423,2429,2015-07-21,2025-07-18,3,5,14,14,56.56,-6.41,46.38
000425,2396,2015-07-21,2025-07-18,6,2,3,15,-26.48,33.99,17.28
000426,2228,2015-10-08,2025-07-18,3,2,2,3,95.33,68.36,160.84
000428,2429,2015-07-21,2025-07-18,5,2,15,9,73.30,-7.56,65.74
000429,2423,2015-07-22,2025-07-18,13,3,15,2,14.32,0.71,14.89
000430,2405,2015-07-21,2025-07-18,7,2,9,5,-2.77,26.75,16.35
000488,2422,2015-07-21,2025-07-18,3,11,14,11,116.56,-71.26,33.18
000498,2389,2015-07-21,2025-07-18,3,9,10,11,56.92,-39.30,8.16
000501,2429,2015-07-21,2025-07-18,5,15,6,5,99.15,-5.29,92.52
000503,2237,2015-08-11,2025-07-18,7,5,4,7,124.92,117.50,242.42
000504,2229,2015-08-17,2025-07-18,3,6,15,8,214.40,-7.05,198.62
000505,2296,2015-07-21,2025-07-18,5,5,3,4,-2.09,37.96,34.92
000506,2201,2015-07-21,2025-07-18,3,3,12,12,87.93,208.09,296.03
000507,2421,2015-07-21,2025-07-18,11,10,8,12,23.25,-46.21,-21.19
000509,2160,2015-07-21,2025-07-18,6,4,10,14,139.46,8.29,147.75
000510,2395,2015-07-21,2025-07-18,3,5,7,14,143.70,27.07,156.37
000513,2372,2015-07-21,2025-07-18,7,10,12,13,71.50,-4.09,53.82
000514,2419,2015-07-21,2025-07-18,4,2,9,11,124.70,136.75,262.09
000516,2257,2015-07-21,2025-07-18,5,4,15,14,159.12,3.55,152.22
000517,2407,2015-07-21,2025-07-18,3,5,9,15,41.56,-5.81,32.53
000518,2420,2015-07-31,2025-07-18,3,6,13,8,72.92,34.32,105.18
000519,2315,2015-12-28,2025-07-18,7,2,3,3,228.15,57.47,176.57
000520,2319,2015-12-18,2025-07-18,3,2,5,5,67.23,-0.78,17.57
000521,2409,2015-07-21,2025-07-18,6,2,15,11,13.70,70.98,82.07
000523,2369,2015-07-21,2025-07-18,15,8,12,12,78.92,-42.09,-4.69
000524,2318,2015-07-21,2025-07-18,3,8,7,6,26.46,38.42,61.42
000525,2401,2015-07-21,2025-07-18,6,3,9,10,-3.99,82.38,70.71
000526,2151,2015-08-10,2025-07-18,11,8,14,8,120.70,5.84,128.21
000528,2408,2015-07-21,2025-07-18,4,4,6,2,50.52,25.35,75.87
000529,2341,2015-07-21,2025-07-18,4,3,8,5,31.62,-13.51,20.86
000530,2429,2015-07-21,2025-07-18,5,15,7,7,-21.67,64.27,41.25
000531,2331,2015-07-21,2025-07-18,3,5,12,10,55.49,9.38,62.80
000532,2429,2015-07-21,2025-07-18,5,7,12,2,98.76,-18.66,39.67
000533,2329,2015-07-21,2025-07-18,3,7,7,11,73.91,31.03,83.99
000534,2124,2015-07-21,2025-07-18,5,4,11,13,116.21,29.23,145.44
000536,2404,2015-07-21,2025-07-18,3,2,15,12,78.44,139.08,222.16
000537,2356,2015-07-21,2025-07-18,4,5,3,14,65.34,121.27,183.61
000538,2265,2015-07-21,2025-07-18,5,4,7,15,83.12,-30.07,53.05
000539,2429,2015-07-21,2025-07-18,3,3,3,11,-0.10,-19.08,-23.80
000541,2422,2015-07-21,2025-07-21,15,12,5,7,4.93,16.05,18.07
000543,2419,2015-07-21,2025-07-21,5,2,15,2,-7.13,14.38,7.26
000544,2424,2015-07-21,2025-07-21,3,2,6,3,29.61,5.02,32.46
000545,2268,2015-09-28,2025-07-21,3,2,11,13,73.39,90.36,164.94
000546,2397,2015-07-21,2025-07-21,8,2,13,7,61.76,110.43,179.38
000547,2153,2015-07-21,2025-07-21,5,13,9,15,86.46,18.98,101.48
000548,2430,2015-07-21,2025-07-21,6,8,12,14,37.94,25.56,53.96
000550,2430,2015-07-21,2025-07-21,15,12,5,8,75.61,-16.05,39.91
000551,2410,2015-07-21,2025-07-21,6,4,3,12,67.13,19.83,64.29
000552,2419,2015-07-21,2025-07-21,7,6,15,9,-31.49,27.69,-1.45
000553,2137,2015-07-21,2025-07-21,4,2,6,14,-22.66,1.49,-32.87
000554,2430,2015-07-21,2025-07-21,4,3,4,14,14.16,-9.18,4.98
