rank,m_fast,m_slow,m_signal,buy_signal,sell_signal,w_confirm,trailing_stop,take_profit,max_positions,annualized,mdd,sharpe,calmar,combined,trades,win_rate,avg_hold_days
1,6,28,3,0,1,0,15,30,1,37.4354,13.9567,1.8859,2.6822,2.2841,23,73.9130,50
2,6,28,3,2,1,0,15.0000,30.0000,1,37.4354,13.9567,1.8859,2.6822,2.2841,23,73.9130,50
3,6,28,3,0,1,0,0.0000,30.0000,1,37.2613,14.4928,1.8735,2.5710,2.2223,23,73.9130,50
4,6,28,3,0,1,0,20.0000,30.0000,1,37.2613,14.4928,1.8735,2.5710,2.2223,23,73.9130,50
5,6,28,3,2,1,0,0.0000,30.0000,1,37.2613,14.4928,1.8735,2.5710,2.2223,23,73.9130,50
6,6,28,3,2,1,0,20.0000,30.0000,1,37.2613,14.4928,1.8735,2.5710,2.2223,23,73.9130,50
7,6,28,3,2,2,0,20.0000,30.0000,1,34.1224,12.8558,1.7785,2.6542,2.2164,36,75.0000,25
8,6,28,3,0,2,0,15.0000,30.0000,1,34.1224,12.8558,1.7785,2.6542,2.2164,36,75.0000,25
9,6,28,3,0,2,0,20.0000,30.0000,1,34.1224,12.8558,1.7785,2.6542,2.2164,36,75.0000,25
10,6,28,3,0,2,0,0.0000,30.0000,1,34.1224,12.8558,1.7785,2.6542,2.2164,36,75.0000,25
11,6,28,3,2,2,0,15.0000,30.0000,1,34.1224,12.8558,1.7785,2.6542,2.2164,36,75.0000,25
12,6,28,3,2,2,0,0.0000,30.0000,1,34.1224,12.8558,1.7785,2.6542,2.2164,36,75.0000,25
13,6,28,3,2,0,0,15.0000,30.0000,1,37.0688,16.0456,1.8655,2.3102,2.0879,23,73.9130,50
14,6,28,3,0,0,0,15.0000,30.0000,1,37.0688,16.0456,1.8655,2.3102,2.0879,23,73.9130,50
15,6,28,3,0,1,0,0.0000,30.0000,2,28.7778,13.3890,1.8663,2.1494,2.0078,35,82.8571,59
16,6,28,3,2,1,0,0.0000,30.0000,2,28.7778,13.3890,1.8663,2.1494,2.0078,35,82.8571,59
17,6,28,3,0,1,0,0.0000,30.0000,3,24.0759,10.7496,1.7356,2.2397,1.9876,46,80.4348,60
18,6,28,3,2,1,0,0.0000,30.0000,3,24.0759,10.7496,1.7356,2.2397,1.9876,46,80.4348,60
19,6,28,3,2,0,0,20.0000,30.0000,1,36.8238,17.4917,1.8372,2.1052,1.9712,23,73.9130,51
20,6,28,3,0,0,0,0.0000,30.0000,1,36.8238,17.4917,1.8372,2.1052,1.9712,23,73.9130,51
21,6,28,3,2,0,0,0.0000,30.0000,1,36.8238,17.4917,1.8372,2.1052,1.9712,23,73.9130,51
