code,name,daily_bars,full_annualized,train_annualized,test_annualized,full_cumulative_ret,buy_hold_ret,vs_buy_hold,trades,win_rate
sh516160,sh516160,1224,52.689,18.8635,11.4248,756.053,218.061,537.992,2,100
sh515030,sh515030,1452,23.2718,45.9779,16.2333,250.197,88.6546,161.542,2,100
sh516150,sh516150,1200,21.6564,11.8752,28.628,164.172,134.079,30.0931,2,100
sh516780,sh516780,1207,21.5504,11.0861,29.0174,164.302,120.594,43.7076,2,100
sh512400,有色金属ETF,2058,18.2261,12.6439,19.0062,315.275,146.108,169.167,2,100
sh518660,sh518660,1394,17.8421,-6.45709,35.1346,157.352,193.299,-35.947,2,50
sh512480,半导体ETF,1628,17.7945,26.258,13.9121,200.65,66.499,134.151,3,66.6667
sh510500,中证500ETF,2707,13.3635,21.6619,6.43211,304.853,480.266,-175.413,5,60
sz159995,芯片ETF(深),1469,13.1055,4.11876,17.983,110.816,84.3511,26.4651,4,50
sz159934,sz159934,2709,12.9433,1.94995,18.201,288.434,400.756,-112.323,5,60
sh518800,黄金ETF,2709,12.3983,1.96906,17.2676,268.043,375.654,-107.611,5,60
sh518880,黄金ETF(华安),2709,12.255,1.58875,17.3209,262.842,373.145,-110.303,5,60
sh513050,中概互联ETF,2199,11.4373,21.4943,6.2234,168.318,28.2103,140.107,4,75
sh515210,sh515210,1454,10.5894,23.5865,0.799116,82.8527,71.7213,11.1314,3,66.6667
sz159866,sz159866,1185,10.3454,-1.73,15.7175,61.9615,53.3333,8.62818,2,100
sh513520,日经ETF,1620,9.73189,-0.373196,16.2956,86.0624,113.838,-27.7759,4,75
sz159981,sz159981,1479,9.61203,30.066,-2.75197,75.3461,34.6574,40.6887,3,66.6667
sz159941,纳指ETF(深),2582,9.55178,3.75517,11.9456,163.819,40.7368,123.082,9,77.7778
sh562800,sh562800,1069,9.22917,-25.1056,33.5095,47.9258,26.7708,21.155,4,25
sh513000,sh513000,1620,8.19783,-0.453688,13.7233,69.3478,108.485,-39.137,4,75
sh515860,sh515860,1541,7.59244,6.85352,12.8029,59.3334,76.2,-16.8666,4,50
sh513880,日经225ETF,1620,7.35244,-1.27031,13.635,60.6953,93.6235,-32.9281,4,75
sh515790,sh515790,1257,6.29527,4.31118,7.63521,37.4718,11.811,25.6608,3,66.6667
sz159869,碳中和ETF,1208,6.07283,-6.22303,5.58404,34.1908,47.0942,-12.9033,4,50
sh513550,sh513550,1240,5.51826,2.81958,5.86508,31.731,3.26383,28.4671,2,50
sh515220,sh515220,1454,4.9723,39.8055,-12.5669,33.7709,28.1443,5.6266,4,75
sh561990,sh561990,1020,4.90177,-2.9196,12.5569,22.4686,6.69331,15.7753,2,50
sh513090,sh513090,1436,4.71944,2.89986,9.54949,31.4515,90.8092,-59.3577,3,66.6667
sh513080,法国CAC40ETF,1383,4.67921,-0.657284,5.73916,29.9103,100.205,-70.2948,5,80
sh513010,sh513010,1155,3.781,1.14573,1.37322,19.3635,-33.0986,52.462,2,50
sh513180,恒生互联ETF,1155,3.6845,0.96963,1.47368,18.8351,-34.2079,53.043,2,50
sh512980,传媒ETF,1964,3.6106,-0.459229,6.4028,33.3407,12.1878,21.1528,4,50
sz159985,sz159985,1509,3.60452,9.51005,-0.663413,24.7621,106.918,-82.1555,5,60
sh513030,sh513030,2708,2.82803,1.01217,1.96758,36.4663,108.298,-71.8316,8,50
sh510090,180ETF,2516,2.82678,3.33398,2.83341,36.4479,105.682,-69.2339,6,50
sz159915,创业板ETF,2708,2.27674,-13.2637,12.2945,28.5281,130.478,-101.949,7,28.5714
