Code,Name,TestReturn,TestTrades,HoldDays,Contribution
sh510300,300ETF,-8.33129,1,0,0
sh510050,上证50ETF,-11.5233,1,0,0
sh513100,纳指ETF,-4.05335,1,0,0
sz159934,黄金ETF(深),-1.88172,1,0,0
sh518880,黄金ETF(华安),-1.77778,1,0,0
sh518800,黄金ETF,-1.73238,1,0,0
sz159915,创业板ETF,-5.14257,1,0,0
sz159934,黄金ETF(深),2.8119,1,0,0
sh518880,黄金ETF(华安),2.90288,1,0,0
sh518800,黄金ETF,3.0137,1,0,0
sz159928,消费ETF,22.9981,1,0,0
sh510050,上证50ETF,28.5454,1,0,0
sh513100,纳指ETF,3.05882,1,0,0
sz159934,黄金ETF(深),-5.26439,1,0,0
sh518880,黄金ETF(华安),-5.29138,1,0,0
sh518800,黄金ETF,-5.4772,1,0,0
sz159941,纳指ETF(深),20.8692,1,0,0
sh513100,纳指ETF,26.3868,1,0,0
sh510090,180ETF,-2.41228,1,0,0
sh510300,300ETF,-1.2253,1,0,0
sh510880,红利ETF,-2.96167,1,0,0
sh510050,上证50ETF,-0.945288,1,0,0
sh510090,180ETF,0.341588,1,0,0
sz159941,纳指ETF(深),0,1,0,0
sh513030,华安港股通精选ETF,4.00372,1,0,0
sh512000,券商ETF,-5.7363,1,0,0
sh510090,180ETF,-2.43902,1,0,0
sh512010,医药ETF,23.1475,1,0,0
sz159915,创业板ETF,8.42067,1,0,0
sh510090,180ETF,-5.65584,1,0,0
sh513030,华安港股通精选ETF,5.20922,1,0,0
sh512010,医药ETF,5.86081,1,0,0
sz159915,创业板ETF,21.2697,1,0,0
sh512000,券商ETF,-1.08268,1,0,0
sh512660,军工ETF,3.28502,1,0,0
sz159934,黄金ETF(深),-3.15847,1,0,0
sh518880,黄金ETF(华安),-3.21088,1,0,0
sz159941,纳指ETF(深),9.59829,1,0,0
sh512660,军工ETF,17.5862,1,0,0
sh510500,中证500ETF,20.2419,1,0,0
sz159934,黄金ETF(深),-1.55865,1,0,0
sz159941,纳指ETF(深),-3.66475,1,0,0
sh512000,券商ETF,8.5354,1,0,0
sh510880,红利ETF,7.85467,1,0,0
sh512800,银行ETF,-3.39271,1,0,0
sh513100,纳指ETF,-0.479294,1,0,0
sh512660,军工ETF,2.30999,1,0,0
sh510500,中证500ETF,-0.455385,1,0,0
sh512400,有色金属ETF,-9.18298,1,0,0
sh510050,上证50ETF,-3.74139,1,0,0
sz159934,黄金ETF(深),-0.166759,1,0,0
sh518880,黄金ETF(华安),-0.110193,1,0,0
sh518800,黄金ETF,-0.222593,1,0,0
sh510090,180ETF,0.284206,1,0,0
sh512800,银行ETF,-1.96246,1,0,0
sh510880,红利ETF,-1.91238,1,0,0
sh512400,有色金属ETF,-7.09924,1,0,0
sh510880,红利ETF,-4.85734,1,0,0
sh512200,房地产ETF,-8.37379,1,0,0
sh512800,银行ETF,-4.61538,1,0,0
sz159934,黄金ETF(深),4.97701,1,0,0
sh518880,黄金ETF(华安),5.06702,1,0,0
sh512890,红利低波ETF,-0.827423,1,0,0
sh512890,红利低波ETF,-1.18765,1,0,0
sh512800,银行ETF,-2.98373,1,0,0
sh512200,房地产ETF,-3.85638,1,0,0
sh513050,中概互联ETF,4.46768,1,0,0
sz159920,恒生ETF(深),-3.01686,1,0,0
sh512000,券商ETF,-7.19101,1,0,0
