code,name,daily_bars,full_annualized,train_annualized,test_annualized,full_cumulative_ret,buy_hold_ret,trades,win_rate
sh516160,sh516160,1224,40.8235,4.31587,72.0803,467.89,218.061,2,100
sh516150,sh516150,1200,22.902,10.9447,36.4358,177.85,134.079,2,100
sh516780,sh516780,1207,22.4502,13.427,35.8612,174.19,120.594,2,100
sh515030,sh515030,1452,21.4047,49.2859,14.8288,219.599,88.6546,2,100
sh512400,有色金属ETF,2058,16.1618,13.7629,13.0471,257.506,146.108,2,100
sz159934,sz159934,2709,15.3445,4.87646,20.139,391.104,400.756,2,100
sh518880,黄金ETF(华安),2709,14.8856,5.03766,19.2653,369.755,373.145,2,100
sh518800,黄金ETF,2709,14.7757,4.91265,19.1568,364.771,375.654,2,100
sh510500,中证500ETF,2707,13.8334,23.9491,4.71733,323.96,480.266,3,100
sh513520,日经ETF,1620,11.5587,3.1007,17.9318,107.778,113.838,2,100
sz159985,sz159985,1509,11.0179,20.6169,5.62385,92.1346,106.918,2,100
sh513000,sh513000,1620,10.5098,3.17952,16.9244,95.0609,108.485,2,100
sh512480,半导体ETF,1628,9.97933,-2.18601,17.5981,89.5262,66.499,2,50
sh515220,sh515220,1454,9.86846,48.403,-14.3898,75.8208,28.1443,2,100
sz159866,sz159866,1185,9.85346,-8.35361,19.2119,58.4551,53.3333,1,100
sh515210,sh515210,1454,9.68217,18.7191,4.66926,74.0409,71.7213,2,100
sh513090,sh513090,1436,9.31714,-2.34948,5.2759,69.601,90.8092,2,50
sz159981,sz159981,1479,9.06647,28.6711,2.19773,70.0734,34.6574,2,100
sh512660,军工ETF,2319,8.40818,-1.27185,8.83387,116.474,60.8916,3,66.6667
sh513880,日经225ETF,1620,8.29541,-1.64541,15.9325,70.3715,93.6235,3,33.3333
sz159995,芯片ETF(深),1469,8.18661,2.87147,14.9629,61.0494,84.3511,2,50
sh515080,sh515080,1493,7.96548,14.3853,2.17764,60.6763,60.3664,1,100
sh512760,芯片ETF,1628,7.56374,-6.62427,16.4234,63.245,78.7759,3,33.3333
sh515860,sh515860,1541,7.41712,0.859968,3.83726,57.6879,76.2,2,100
sh512200,房地产ETF,2042,6.39969,-4.72617,13.3372,68.7813,53.666,3,33.3333
sz159915,创业板ETF,2708,6.30207,-10.0118,14.8887,97.652,130.478,3,66.6667
sz399006,创业板指,2709,6.27582,-9.44668,16.3191,97.1085,124.005,3,66.6667
sh513550,sh513550,1240,6.21332,0.697421,6.16976,36.244,3.26383,1,100
sh515790,sh515790,1257,5.97215,10.7446,7.63521,35.3073,11.811,2,100
sh561990,sh561990,1020,5.16076,-2.9196,13.6949,23.7543,6.69331,1,100
sh515180,sh515180,1498,4.77472,6.23452,1.34266,33.5753,46.7597,1,100
sz159869,碳中和ETF,1208,4.08363,-3.94351,-2.61621,22.0984,47.0942,4,50
sh513180,恒生互联ETF,1155,3.95033,0.96963,-1.38979,20.2952,-34.2079,1,100
sh513080,法国CAC40ETF,1383,3.78773,-4.83161,12.1118,23.7056,100.205,3,33.3333
sz159920,sz159920,2709,3.76631,5.2875,2.99993,51.0097,40.2715,4,50
sh513010,sh513010,1155,3.59147,0,-1.21036,18.3274,-33.0986,1,100
sh513050,中概互联ETF,2199,3.19005,10.8951,-3.54363,33.1372,28.2103,3,66.6667
sh510090,180ETF,2516,2.7217,3.88597,4.71506,34.9014,105.682,4,50
sz159941,纳指ETF(深),2582,2.60599,14.3818,-6.35201,31.4645,40.7368,2,50
sh513100,纳指ETF,2708,2.5996,15.2692,-5.79886,33.1245,30.1083,2,50
sh516950,sh516950,1162,2.3737,5.93384,8.49591,11.9177,26.8416,3,33.3333
sh588000,科创50ETF,1281,2.13528,-11.9271,6.35077,11.85,-0.771208,3,33.3333
sh000905,中证500,2709,2.04274,-5.91882,6.05927,25.2875,62.179,4,50
sz159607,sz159607,1026,1.77176,-2.0727,4.24111,7.76362,-4.81064,1,100
sh000852,中证1000,2709,1.36972,-5.1148,5.05043,16.3773,40.6791,4,50
sh513030,sh513030,2708,1.23484,-2.78085,2.79923,14.6626,108.298,5,40
sh515650,sh515650,1527,1.17245,8.23894,-10.6233,7.63677,13.6048,2,50
sh512290,生物医药ETF,1645,1.12785,11.7169,-9.22398,7.90258,-0.205973,2,50
sh000016,上证50,2709,0.736702,-0.702242,1.27459,8.52717,16.5956,4,75
sz399001,深证成指,2709,0.354941,-8.86713,5.93926,4.02912,29.7266,4,50
sh510050,上证50ETF,2709,0.114522,-2.53116,1.17468,1.28419,21.124,4,75
sh000001,上证指数,2709,0.0978914,-7.40905,4.41998,1.09678,28.3544,4,75
sh512980,传媒ETF,1964,-0.243062,-0.693475,3.13958,-1.95482,12.1878,3,33.3333
sh515880,sh515880,1567,-0.766819,-12.3766,4.74345,-4.87416,6.28571,2,50
sh510300,300ETF,2709,-0.92025,-6.82851,2.10072,-9.79356,31.4928,4,75
sh518660,sh518660,1394,-1.35434,-3.40002,35.1346,-7.5509,193.299,2,50
sh512890,sh512890,1721,-1.92634,-15.2177,9.85605,-12.9258,18.5371,2,50
sh510880,红利ETF,2709,-2.82002,-7.11046,-0.948229,-27.3058,25.6849,5,20
sh000300,沪深300,2709,-2.9122,-7.05148,-0.980766,-28.0709,32.601,4,50
sh513330,美债ETF,1222,-3.05963,-5.09073,-1.85,-14.5558,-55.0696,1,0
sh513060,恒生医疗ETF,1192,-3.32962,-11.162,6.27479,-15.3544,-40.9045,2,50
sh562800,sh562800,1069,-3.47058,-37.5621,33.5095,-14.501,26.7708,3,33.3333
sh515000,sh515000,1582,-3.93798,7.33525,-7.00279,-23.1259,2.64188,2,50
sh512690,酒ETF,1654,-4.50928,6.50218,-13.8627,-26.9979,-45.339,2,50
sz159928,消费ETF,2709,-5.07786,17.148,-18.7029,-44.0653,-33.5065,2,0
sh512800,银行ETF,2079,-5.28942,-0.61388,-7.90723,-37.268,-23.4483,5,20
sh512000,券商ETF,2292,-5.70463,0.371469,-11.5467,-42.656,-43.7755,4,25
sh512070,非银ETF,2565,-6.55956,2.5851,0.697222,-51.2059,-52.4202,3,66.6667
sh512010,医药ETF,2564,-8.03877,10.509,-17.1487,-58.7834,-71.0156,2,0
sh515710,sh515710,1244,-10.8734,-8.56844,-5.57032,-44.7059,-46.2857,1,0
sh515170,sh515170,1240,-11.5527,-9.76275,-5.99207,-46.7337,-49.0385,1,0
sh512170,医疗ETF,1625,-11.5613,-11.0058,-10.4177,-56.1378,-64.7773,2,0
sh562510,上证科创板ETF,1006,-12.2831,-23.5796,-3.99046,-42.1838,-23.6181,4,0
