code,name,daily_bars,timeframe,full_annualized,train_annualized,test_annualized,full_cumulative_ret,buy_hold_ret,strategy_vs_bh,trades,win_rate,fast,slow,signal,buy_mode,sell_mode,trailing_stop,take_profit,cooldown
sh516160,新能源车ETF(汇添富),1224,WEEKLY,27.061,20.7602,38.9156,237.038,218.061,1.44315,19,26.3158,11,15,3,Hist>0,Hist<0,20,50,0
sh512480,半导体ETF,1628,WEEKLY,23.7287,52.4529,10.8337,318.343,66.499,15.8486,26,34.6154,11,15,3,Hist>0,Hist<0,20,50,0
sh516780,稀有金属ETF,1207,WEEKLY,22.4459,31.1392,16.9535,174.141,120.594,5.2283,18,44.4444,11,15,3,Hist>0,Hist<0,20,50,0
sh515030,新能源ETF,1452,WEEKLY,20.737,68.4003,-1.14044,209.213,88.6546,9.5592,23,34.7826,11,15,3,Hist>0,Hist<0,20,50,0
sh510500,中证500ETF,2707,WEEKLY,20.2222,36.6822,11.1991,679.313,480.266,3.1387,37,35.1351,11,15,3,Hist>0,Hist<0,20,50,0
sh512760,芯片ETF,1628,WEEKLY,19.6282,45.9398,6.67578,233.544,78.7759,10.6002,25,32,11,15,3,Hist>0,Hist<0,20,50,0
sh516150,稀土ETF,1200,WEEKLY,18.6474,22.1967,15.3784,133.339,134.079,-0.0758878,18,33.3333,11,15,3,Hist>0,Hist<0,20,50,0
sz159869,碳中和ETF,1208,WEEKLY,15.9516,18.3686,26.8983,109.236,47.0942,7.90848,14,35.7143,11,15,3,Hist>0,Hist<0,20,50,0
sz159607,家电ETF,1026,WEEKLY,15.418,23.1378,10.7976,84.1281,-4.81064,16.5693,13,53.8462,11,15,3,Hist>0,Hist<0,20,50,0
sh513090,港股通互联网ETF,1436,WEEKLY,12.3594,5.70013,16.7528,99.5826,90.8092,0.848532,24,37.5,11,15,3,Hist>0,Hist<0,20,50,0
sh513100,纳指ETF,2708,WEEKLY,12.3128,4.41344,18.5131,264.932,30.1083,9.92389,38,55.2632,11,15,3,Hist>0,Hist<0,20,50,0
sh512980,传媒ETF,1964,WEEKLY,11.1575,-3.68445,22.9627,135.867,12.1878,9.72975,24,41.6667,11,15,3,Hist>0,Hist<0,20,50,0
sh518660,黄金股ETF(永赢),1394,WEEKLY,10.9119,1.69641,17.8752,81.5397,193.299,-9.63681,23,47.8261,11,15,3,Hist>0,Hist<0,20,50,0
sz159985,豆粕ETF,1509,WEEKLY,10.9035,9.99762,12.711,90.9006,106.918,-1.43941,23,47.8261,11,15,3,Hist>0,Hist<0,20,50,0
sz159941,纳指ETF(深),2582,WEEKLY,10.1941,1.67876,16.4928,180.74,40.7368,6.92838,35,48.5714,11,15,3,Hist>0,Hist<0,20,50,0
sh515790,光伏ETF,1257,WEEKLY,10.0235,28.3237,-0.20355,64.535,11.811,7.85879,17,35.2941,11,15,3,Hist>0,Hist<0,20,50,0
sz159995,芯片ETF(深),1469,WEEKLY,9.78224,10.1018,8.46252,75.9816,84.3511,-0.84549,23,43.4783,11,15,3,Hist>0,Hist<0,20,50,0
sh513000,日经ETF(南方),1620,WEEKLY,9.07797,11.6009,8.45393,78.7737,108.485,-2.53739,22,54.5455,11,15,3,Hist>0,Hist<0,20,50,0
sh513880,日经225ETF,1620,WEEKLY,9.02614,10.7223,9.0774,78.2065,93.6235,-1.36147,21,47.619,11,15,3,Hist>0,Hist<0,20,50,0
sh518800,黄金ETF,2709,WEEKLY,7.76593,4.36441,10.2195,130.208,375.654,-7.24831,43,41.8605,11,15,3,Hist>0,Hist<0,20,50,0
sh513520,日经ETF,1620,WEEKLY,7.66397,11.9087,4.5862,63.839,113.838,-4.37546,23,47.8261,11,15,3,Hist>0,Hist<0,20,50,0
sz159934,黄金ETF(深),2709,WEEKLY,7.44649,3.25647,10.4473,122.714,400.756,-8.09954,43,37.2093,11,15,3,Hist>0,Hist<0,20,50,0
sh518880,黄金ETF(华安),2709,WEEKLY,7.39933,3.74016,10.0125,121.627,373.145,-7.56037,44,40.9091,11,15,3,Hist>0,Hist<0,20,50,0
sh515880,通信ETF,1567,WEEKLY,7.39315,-1.37949,11.6123,58.885,6.28571,6.44964,24,41.6667,11,15,3,Hist>0,Hist<0,20,50,0
sz159981,能源化工ETF,1479,WEEKLY,7.22718,23.4656,-1.69957,53.2634,34.6574,2.24414,21,52.381,11,15,3,Hist>0,Hist<0,20,50,0
sz159928,消费ETF,2709,WEEKLY,6.27434,19.5135,-2.46865,97.078,-33.5065,9.86843,37,37.8378,11,15,3,Hist>0,Hist<0,20,50,0
sh515860,中证电新ETF,1541,WEEKLY,4.36857,10.9,2.25759,31.2822,76.2,-4.93811,23,30.4348,11,15,3,Hist>0,Hist<0,20,50,0
sh512890,红利低波ETF,1721,WEEKLY,4.14664,12.7191,-3.39627,33.5236,18.5371,1.72798,25,40,11,15,3,Hist>0,Hist<0,20,50,0
sz159915,创业板ETF,2708,WEEKLY,4.06433,5.31166,3.30019,55.916,130.478,-3.7129,41,29.2683,11,15,3,Hist>0,Hist<0,20,50,0
