code,name,train_trades,train_ann_ret,train_dd,train_win,test_trades,test_ann_ret,test_dd,test_win
sz159981,能源化工ETF,0,0,0,0,1,-0.143028,0.52161,0
sz159934,黄金ETF(深),0,0,0,0,1,0.241241,0,100
sz159866,日经225ETF(深),1,-0.0664533,0.129032,0,2,-5.8041,15.9393,0
sh562800,恒生生物科技ETF,0,0,0,0,1,3.40804,0,100
sh518660,黄金股ETF(永赢),0,0,0,0,0,0,0,0
sh516160,新能源车ETF(汇添富),0,0,0,0,0,0,0,0
sh516150,稀土ETF,0,0,0,0,1,2.56126,0,100
sh515860,中证电新ETF,0,0,0,0,1,-0.0467489,0.176991,0
sh515710,新材料ETF,0,0,0,0,0,0,0,0
sh515650,消费50ETF,0,0,0,0,1,0.176733,0,100
sh515180,100红利ETF,0,0,0,0,1,-0.625176,2.28898,0
sz159920,恒生ETF(深),0,0,0,0,1,-0.620077,4.06574,0
sh515170,食品饮料ETF,0,0,0,0,1,-1.29301,3.87722,0
sh515080,中证红利ETF,0,0,0,0,1,-1.29799,4.68549,0
sh515030,新能源ETF,0,0,0,0,0,0,0,0
sh515000,科技ETF,0,0,0,0,1,0.112231,0,100
sh516780,稀有金属ETF,0,0,0,0,1,2.60341,0,100
sh513090,港股通互联网ETF,2,-3.27473,10.8745,50,1,2.76861,0,100
sh513010,港股通50ETF,0,0,0,0,0,0,0,0
sh513000,日经ETF(南方),0,0,0,0,2,-4.27735,15.9013,0
sh562510,上证科创板ETF,0,0,0,0,1,-0.40114,0.984529,0
sh515210,钢铁ETF,0,0,0,0,2,1.40928,0.442152,50
sh512660,军工ETF,3,2.40736,1.62958,33.3333,1,-0.467385,2.64026,0
sh512890,红利低波ETF,0,0,0,0,1,-0.0854477,0.361011,0
sh513060,恒生医疗ETF,0,0,0,0,0,0,0,0
sh513030,华安港股通精选ETF,2,0.957678,0,100,0,0,0,0
sh512690,酒ETF,0,0,0,0,0,0,0,0
sh512010,医药ETF,1,0.580263,0,100,0,0,0,0
sh510500,中证500ETF,1,-1.90016,8.16926,0,0,0,0,0
sh510300,300ETF,0,0,0,0,2,-0.628974,4.12304,0
sh515220,煤炭ETF,0,0,0,0,0,0,0,0
sh512200,房地产ETF,1,1.85094,0,100,2,-1.06254,5.23995,0
sh512290,生物医药ETF,0,0,0,0,0,0,0,0
sh513080,法国CAC40ETF,0,0,0,0,0,0,0,0
sh512070,非银ETF,0,0,0,0,0,0,0,0
sh512800,银行ETF,1,1.67199,0,100,0,0,0,0
sz159995,芯片ETF(深),1,4.76068,0,100,3,3.00099,0.309598,66.6667
sz159985,豆粕ETF,0,0,0,0,2,1.18329,2.74314,50
sh515880,通信ETF,0,0,0,0,1,2.8568,0,100
sh510090,180ETF,3,1.1444,1.97425,66.6667,2,-0.635247,4.19708,50
sh513550,港股红利ETF,0,0,0,0,0,0,0,0
sh512400,有色金属ETF,1,2.22545,0,100,1,-0.182232,0.918274,0
sz159928,消费ETF,2,-5.25547,21.3233,0,2,-0.606824,3.98034,0
sh512170,医疗ETF,0,0,0,0,1,-3.50903,13.3144,0
sz159607,家电ETF,0,0,0,0,0,0,0,0
sh510880,红利ETF,0,0,0,0,2,-0.543598,5.37842,50
sh513520,日经ETF,0,0,0,0,1,-3.35223,12.6351,0
sh512480,半导体ETF,0,0,0,0,1,0.959749,0,100
sh515790,光伏ETF,0,0,0,0,1,0.620767,0,100
sh512980,传媒ETF,0,0,0,0,0,0,0,0
sh518800,黄金ETF,0,0,0,0,0,0,0,0
sh588000,科创50ETF,2,-3.52352,7.24336,0,0,0,0,0
sh518880,黄金ETF(华安),0,0,0,0,0,0,0,0
sz159941,纳指ETF(深),0,0,0,0,0,0,0,0
sh513050,中概互联ETF,0,0,0,0,0,0,0,0
sh513100,纳指ETF,1,2.00395,0,100,0,0,0,0
sh561990,动漫游戏ETF,0,0,0,0,0,0,0,0
sz159915,创业板ETF,0,0,0,0,1,0.390017,0,100
sh512000,券商ETF,2,-2.02256,7.41255,0,2,0.821017,0,100
sh513180,恒生互联ETF,0,0,0,0,0,0,0,0
sh516950,基建ETF,0,0,0,0,0,0,0,0
sz159869,碳中和ETF,0,0,0,0,1,-5.4495,15.2914,0
sh510050,上证50ETF,0,0,0,0,2,-0.599019,3.93001,0
sh513880,日经225ETF,0,0,0,0,3,-1.19699,11.8624,33.3333
sh513330,美债ETF,0,0,0,0,0,0,0,0
sh512760,芯片ETF,0,0,0,0,1,0.774574,0,100
