Code,Name,TestAnnualized,TestTrades,TestWinRate
sh513100,纳指ETF,11.39,9,77.78%
sh515180,100红利ETF,-9.31,6,33.33%
sh513050,中概互联ETF,-8.27,12,25.00%
sh518800,黄金ETF,9.06,17,41.18%
sh513520,日经ETF,7.34,6,50.00%
sz159985,豆粕ETF,-1.36,6,16.67%
sz159981,能源化工ETF,-0.12,5,20.00%
sh512070,非银ETF,4.99,12,25.00%
sh512290,生物医药ETF,1.21,5,20.00%
sh512980,传媒ETF,4.08,4,50.00%
sh515790,光伏ETF,39.38,5,60.00%
sh512010,医药ETF,-6.77,15,40.00%
sz159866,日经225ETF(深),0.27,2,50.00%
sh518660,黄金股ETF(永赢),18.90,11,36.36%
sh515710,新材料ETF,-18.62,5,40.00%
sh515860,中证电新ETF,7.66,8,37.50%
sh516150,稀土ETF,30.79,6,33.33%
sh515000,科技ETF,1.27,8,25.00%
sz159995,芯片ETF(深),4.73,5,80.00%
sh512800,银行ETF,-21.88,15,6.67%
sh510300,300ETF,-3.27,12,16.67%
sh512690,酒ETF,-17.69,5,40.00%
sh513030,华安港股通精选ETF,3.53,10,60.00%
sh512400,有色金属ETF,9.06,7,57.14%
sz159928,消费ETF,0.84,14,42.86%
sh513550,港股红利ETF,-4.73,8,12.50%
sh512170,医疗ETF,1.49,4,50.00%
sz159915,创业板ETF,-0.57,9,22.22%
sh561990,动漫游戏ETF,-16.24,5,0.00%
sz159934,黄金ETF(深),10.43,16,56.25%
sh510500,中证500ETF,5.36,13,30.77%
sh562800,恒生生物科技ETF,47.73,5,60.00%
sh516780,稀有金属ETF,8.72,6,16.67%
sh513090,港股通互联网ETF,32.78,6,50.00%
sh515080,中证红利ETF,-7.15,10,40.00%
sh515030,新能源ETF,47.52,5,60.00%
sh513060,恒生医疗ETF,79.68,4,50.00%
sh512890,红利低波ETF,-10.32,6,0.00%
sz159941,纳指ETF(深),7.73,10,50.00%
sh512480,半导体ETF,13.54,7,57.14%
sh515210,钢铁ETF,-9.46,8,25.00%
sh512660,军工ETF,4.27,9,33.33%
sh516160,新能源车ETF(汇添富),107.78,3,33.33%
sh512760,芯片ETF,14.02,7,71.43%
sh513080,法国CAC40ETF,-3.16,7,28.57%
sh512000,券商ETF,-5.78,5,20.00%
sh513180,恒生互联ETF,33.36,3,100.00%
sh562510,上证科创板ETF,-22.83,8,25.00%
sh513000,日经ETF(南方),5.18,4,50.00%
sh512200,房地产ETF,10.52,7,14.29%
sz159607,家电ETF,32.24,5,60.00%
sh510880,红利ETF,-6.16,15,46.67%
sh588000,科创50ETF,8.49,5,40.00%
sh518880,黄金ETF(华安),9.03,16,43.75%
sh515220,煤炭ETF,1.57,8,62.50%
sh515650,消费50ETF,-27.75,5,20.00%
sh510050,上证50ETF,-4.13,13,23.08%
sh513330,美债ETF,17.44,5,60.00%
sz159869,碳中和ETF,23.88,3,33.33%
sh516950,基建ETF,-4.81,7,28.57%
sh513880,日经225ETF,4.51,4,50.00%
sz159920,恒生ETF(深),-3.08,14,21.43%
sh515170,食品饮料ETF,-20.42,6,16.67%
sh513010,港股通50ETF,33.30,3,100.00%
sh515880,通信ETF,-8.06,8,25.00%
sh510090,180ETF,-8.74,12,16.67%
