Code,Name,Sector,TestAnnualized,TestTrades,TestWinRate
sh513100,纳指ETF,sector_overseas,6.25,4,75.00%
sh515180,100红利ETF,sector_dividend,-2.16,3,33.33%
sh513050,中概互联ETF,sector_overseas,5.47,11,36.36%
sh518800,黄金ETF,sector_commodity,8.09,14,42.86%
sh513520,日经ETF,sector_overseas,-4.11,5,40.00%
sz159985,豆粕ETF,sector_commodity,9.86,6,33.33%
sz159981,能源化工ETF,sector_commodity,1.10,4,25.00%
sh512070,非银ETF,sector_finance,3.36,9,22.22%
sh512290,生物医药ETF,sector_healthcare,-9.83,3,0.00%
sh512980,传媒ETF,sector_media,4.08,4,50.00%
sh515790,光伏ETF,sector_energy,0.00,1,0.00%
sh512010,医药ETF,sector_healthcare,-2.54,4,50.00%
sz159866,日经225ETF(深),sector_overseas,90.21,1,100.00%
sh518660,黄金股ETF(永赢),sector_commodity,14.36,10,30.00%
sh515710,新材料ETF,sector_tech,3.64,2,100.00%
sh515860,中证电新ETF,sector_energy,-8.05,2,0.00%
sh516150,稀土ETF,sector_materials,3.69,4,25.00%
sh515000,科技ETF,sector_tech,-13.97,7,14.29%
sz159995,芯片ETF(深),sector_tech,8.15,5,80.00%
sh512800,银行ETF,sector_finance,-21.86,13,7.69%
sh510300,300ETF,sector_broad,0.18,13,30.77%
sh512690,酒ETF,sector_consumer,-36.85,2,0.00%
sh513030,华安港股通精选ETF,sector_overseas,3.24,9,44.44%
sh512400,有色金属ETF,sector_materials,-2.37,5,40.00%
sz159928,消费ETF,sector_consumer,-2.93,8,25.00%
sh513550,港股红利ETF,sector_overseas,-2.66,6,16.67%
sh512170,医疗ETF,sector_healthcare,2.98,2,50.00%
sz159915,创业板ETF,sector_broad,3.42,9,44.44%
sh561990,动漫游戏ETF,sector_broad,-4.37,5,20.00%
sz159934,黄金ETF(深),sector_commodity,8.00,13,53.85%
sh510500,中证500ETF,sector_broad,3.43,10,30.00%
sh562800,恒生生物科技ETF,sector_healthcare,51.70,4,75.00%
sh516780,稀有金属ETF,sector_tech,-16.01,3,0.00%
sh513090,港股通互联网ETF,sector_overseas,9.22,5,40.00%
sh515080,中证红利ETF,sector_broad,-5.66,5,40.00%
sh515030,新能源ETF,sector_energy,89.24,2,100.00%
sh513060,恒生医疗ETF,sector_overseas,99.01,2,100.00%
sh512890,红利低波ETF,sector_dividend,-0.17,5,20.00%
sz159941,纳指ETF(深),sector_overseas,6.75,7,42.86%
sh512480,半导体ETF,sector_tech,7.47,6,50.00%
sh515210,钢铁ETF,sector_materials,-0.74,5,40.00%
sh512660,军工ETF,sector_military,5.15,7,28.57%
sh516160,新能源车ETF(汇添富),sector_energy,116.67,2,50.00%
sh512760,芯片ETF,sector_tech,8.60,6,66.67%
sh513080,法国CAC40ETF,sector_overseas,-0.54,8,37.50%
sh512000,券商ETF,sector_finance,-9.93,5,20.00%
sh513180,恒生互联ETF,sector_overseas,33.36,3,100.00%
sh562510,上证科创板ETF,sector_energy,-14.06,5,40.00%
sh513000,日经ETF(南方),sector_overseas,6.06,5,40.00%
sh512200,房地产ETF,sector_realestate,12.38,4,25.00%
sz159607,家电ETF,sector_overseas,35.79,4,75.00%
sh510880,红利ETF,sector_dividend,-0.90,7,42.86%
sh588000,科创50ETF,sector_broad,-14.15,5,20.00%
sh518880,黄金ETF(华安),sector_commodity,8.04,13,46.15%
sh515220,煤炭ETF,sector_materials,0.27,7,57.14%
sh515650,消费50ETF,sector_materials,-4.79,3,33.33%
sh510050,上证50ETF,sector_broad,-1.36,12,25.00%
sh513330,美债ETF,sector_overseas,17.44,5,60.00%
sz159869,碳中和ETF,sector_commodity,14.88,3,33.33%
sh516950,基建ETF,sector_realestate,-6.31,2,50.00%
sh513880,日经225ETF,sector_overseas,8.48,4,50.00%
sz159920,恒生ETF(深),sector_overseas,4.98,12,33.33%
sh515170,食品饮料ETF,sector_consumer,-34.48,3,0.00%
sh513010,港股通50ETF,sector_overseas,33.30,3,100.00%
sh515880,通信ETF,sector_tech,-0.26,5,40.00%
sh510090,180ETF,sector_dividend,-3.34,8,25.00%
