Code,Name,WF_AvgAnnualized,NumWindows,Consistency(%)
sh562510,上证科创板ETF,-4.36,2,50.00%
sh515860,中证电新ETF,-7.10,1,0.00%
sh562800,恒生生物科技ETF,14.53,2,50.00%
sh516160,新能源车ETF(汇添富),15.95,2,50.00%
sh513520,日经ETF,-2.08,3,33.33%
sz159985,豆粕ETF,0.61,3,33.33%
sz159941,纳指ETF(深),7.24,5,80.00%
sh512170,医疗ETF,-4.76,3,33.33%
sh561990,动漫游戏ETF,-6.90,2,0.00%
sz159915,创业板ETF,-1.74,4,50.00%
sh515210,钢铁ETF,-3.90,2,50.00%
sh512660,军工ETF,-0.09,7,57.14%
sh512760,芯片ETF,4.35,2,50.00%
sh510500,中证500ETF,-4.14,4,0.00%
sz159934,黄金ETF(深),6.63,3,66.67%
sh513000,日经ETF(南方),4.42,4,75.00%
sh512200,房地产ETF,12.86,4,25.00%
sh515790,光伏ETF,-9.10,1,0.00%
sh512980,传媒ETF,5.06,2,100.00%
sz159981,能源化工ETF,12.18,4,75.00%
sh515180,100红利ETF,-2.72,5,60.00%
sh512890,红利低波ETF,-2.37,6,33.33%
sh513060,恒生医疗ETF,-3.41,2,50.00%
sh515880,通信ETF,3.22,3,66.67%
sh510090,180ETF,-2.00,8,25.00%
sh512800,银行ETF,-2.70,5,40.00%
sz159995,芯片ETF(深),0.77,3,33.33%
sh510300,300ETF,1.86,4,75.00%
sh513030,华安港股通精选ETF,0.89,7,42.86%
sh512690,酒ETF,0.75,2,50.00%
sh512010,医药ETF,1.57,5,60.00%
sh512290,生物医药ETF,0.85,3,33.33%
sh512070,非银ETF,8.19,6,33.33%
sh512480,半导体ETF,-0.26,2,50.00%
sh513100,纳指ETF,7.08,5,80.00%
sh513050,中概互联ETF,2.72,6,50.00%
sh515080,中证红利ETF,-4.74,5,0.00%
sh515030,新能源ETF,8.18,3,33.33%
sh513080,法国CAC40ETF,-0.49,4,50.00%
sh512400,有色金属ETF,-1.95,3,33.33%
sz159928,消费ETF,-6.15,3,66.67%
sh513550,港股红利ETF,-0.57,4,50.00%
sh512000,券商ETF,1.61,4,50.00%
sh513180,恒生互联ETF,5.51,4,75.00%
sh510880,红利ETF,-3.76,7,14.29%
sz159607,家电ETF,-6.32,3,33.33%
sh513010,港股通50ETF,5.51,4,75.00%
sh513880,日经225ETF,5.21,4,75.00%
sz159869,碳中和ETF,0.95,1,100.00%
sh510050,上证50ETF,-4.79,4,25.00%
sh516950,基建ETF,-2.08,4,50.00%
sh513330,美债ETF,6.58,3,66.67%
sz159866,日经225ETF(深),-3.69,2,50.00%
sh518660,黄金股ETF(永赢),8.10,3,66.67%
sh518800,黄金ETF,7.86,3,66.67%
sh588000,科创50ETF,5.75,3,66.67%
sh518880,黄金ETF(华安),4.69,3,66.67%
sh515220,煤炭ETF,1.18,2,100.00%
sh513090,港股通互联网ETF,15.03,3,66.67%
sh516780,稀有金属ETF,-4.85,2,0.00%
sz159920,恒生ETF(深),0.46,7,71.43%
sh515170,食品饮料ETF,-21.77,1,0.00%
sh515650,消费50ETF,-11.22,2,0.00%
sh515000,科技ETF,-4.13,1,0.00%
sh516150,稀土ETF,-5.28,2,0.00%
sh515710,新材料ETF,-20.87,1,0.00%
