stock_code,stock_name,train_annualized,test_annualized,total_return_pct,trades,win_rate,buy_hold_return_pct,date_start,date_end
603091,众鑫股份,0,110.969,44.7661,1,100,45.9035,2025-01-20,2025-07-21
603119,浙江荣泰,0,103.224,130,1,100,105.736,2024-05-17,2025-07-21
603151,邦基科技,0,61.1104,122.937,1,100,62.6323,2023-11-17,2025-07-21
002052,同洲电子,-14.5544,40.8725,543.897,2,100,292.657,2020-02-11,2025-07-21
002176,江特电机,-24.0331,40.7062,643.71,2,50,80.3279,2019-09-05,2025-07-21
603130,云中马,0,40.1184,72.4401,1,100,57.4419,2023-12-11,2025-07-21
600610,中毅达,23.811,39.1365,407.371,2,100,192.418,2020-08-20,2025-07-21
000422,湖北宜化,-23.3902,36.7471,535.939,2,100,393.561,2019-08-19,2025-07-18
002460,赣锋锂业,0,36.3459,543.289,2,50,59.346,2019-07-18,2025-07-21
601208,东材科技,-16.2877,36.051,535.515,2,100,238.78,2019-07-17,2025-07-21
000733,振华科技,-10.4231,35.7172,518.4,2,50,216.667,2019-08-02,2025-07-21
002868,*ST绿康,-4.67567,35.4086,349.132,2,100,52.3382,2020-08-06,2025-07-21
000762,西藏矿业,-17.4991,35.3947,517.321,2,50,187.906,2019-07-17,2025-07-21
002865,钧达股份,0,34.5844,336.102,2,50,186.082,2020-08-05,2025-07-21
002594,比亚迪,-6.92691,34.5405,494.293,2,100,507.045,2019-07-17,2025-07-21
600111,北方稀土,-0.551293,33.4335,465.518,2,100,196.312,2019-07-17,2025-07-21
002265,建设工业,-7.22553,32.7962,419.203,2,100,289.673,2019-09-30,2025-07-21
600096,云天化,-17.5868,32.659,445.663,2,100,273.96,2019-07-18,2025-07-21
601919,中远海控,-4.8097,31.7939,378.068,2,100,227.941,2019-11-21,2025-07-21
000880,潍柴重机,2.59658,31.1769,412.728,3,100,489.769,2019-07-11,2025-07-21
