code,name,trades,wins,win_rate,annualized
000002,万  科Ａ,4,1,25.00,-16.15
000004,*ST国华,6,2,33.33,-1.74
000006,深振业Ａ,8,2,25.00,-9.88
000007,全新好,10,1,10.00,-8.54
000008,神州高铁,7,1,14.29,-6.73
000009,中国宝安,15,8,53.33,25.44
000010,美丽生态,10,4,40.00,-4.24
000011,深物业A,5,1,20.00,-7.39
000012,南  玻Ａ,12,3,25.00,2.42
000014,沙河股份,13,4,30.77,-0.57
000016,深康佳Ａ,11,0,0.00,-17.64
000017,深中华A,15,5,33.33,15.74
000019,深粮控股,11,5,45.45,-5.30
000020,深华发Ａ,12,4,33.33,3.79
000021,深科技,17,4,23.53,-10.54
000025,特  力Ａ,12,0,0.00,-11.17
000026,飞亚达,17,4,23.53,7.63
000027,深圳能源,10,2,20.00,-8.27
000028,国药一致,2,0,0.00,-8.18
000029,深深房Ａ,13,5,38.46,27.65
000030,富奥股份,7,4,57.14,4.28
000031,大悦城,1,0,0.00,-12.89
000032,深桑达Ａ,16,5,31.25,-7.00
000034,神州数码,17,6,35.29,-4.00
000035,中国天楹,10,3,30.00,2.03
000036,华联控股,4,2,50.00,-3.31
000037,深南电A,8,1,12.50,-4.36
000039,中集集团,8,3,37.50,-10.87
000042,中洲控股,6,2,33.33,-1.21
000045,深纺织Ａ,14,6,42.86,-4.50
000048,京基智农,9,3,33.33,1.25
000049,德赛电池,8,2,25.00,2.22
000050,深天马Ａ,2,1,50.00,-12.82
000055,方大集团,11,2,18.18,-7.70
000056,皇庭国际,6,1,16.67,-5.87
000058,深 赛 格,10,3,30.00,-28.55
000059,华锦股份,7,2,28.57,-2.35
000060,中金岭南,12,2,16.67,-12.34
000061,农 产 品,17,2,11.76,-12.98
000062,深圳华强,10,3,30.00,9.63
000063,中兴通讯,10,3,30.00,-2.39
000065,北方国际,12,3,25.00,-4.43
000066,中国长城,5,1,20.00,-3.81
000068,华控赛格,13,1,7.69,-19.29
000069,华侨城Ａ,4,1,25.00,1.02
000070,ST特信,6,2,33.33,-11.38
000078,海王生物,6,2,33.33,22.62
000088,盐 田 港,4,0,0.00,-24.06
000089,深圳机场,3,0,0.00,-3.86
000090,天健集团,6,3,50.00,6.73
000096,广聚能源,14,5,35.71,-4.98
000099,中信海直,19,7,36.84,9.97
000100,TCL科技,9,3,33.33,-2.68
000151,中成股份,14,2,14.29,-31.21
000153,丰原药业,11,5,45.45,12.18
000155,川能动力,6,3,50.00,21.09
000156,华数传媒,7,2,28.57,-2.89
000157,中联重科,10,5,50.00,5.12
000158,常山北明,13,3,23.08,-10.02
000159,国际实业,10,2,20.00,-11.40
000166,申万宏源,12,4,33.33,-8.81
000301,东方盛虹,13,5,38.46,10.80
000333,美的集团,15,7,46.67,-8.15
000338,潍柴动力,16,9,56.25,7.11
000400,许继电气,22,11,50.00,12.31
000401,冀东水泥,6,1,16.67,-10.99
000402,金 融 街,1,0,0.00,-19.88
000403,派林生物,7,4,57.14,5.24
000404,长虹华意,20,5,25.00,-3.46
000407,胜利股份,11,3,27.27,-6.63
000408,藏格矿业,11,5,45.45,17.95
000409,云鼎科技,20,9,45.00,3.12
000410,沈阳机床,16,3,18.75,-1.68
000411,英特集团,4,0,0.00,-12.96
000415,渤海租赁,10,2,20.00,-2.46
000417,合百集团,10,1,10.00,-9.58
000419,通程控股,16,4,25.00,-7.24
000420,吉林化纤,10,4,40.00,9.92
