stock_code,daily_bars,monthly_bars,date_start,date_end,total_trades,winning_trades,win_rate,total_return_pct,avg_return_pct,max_return_pct,min_return_pct,buy_hold_return_pct
000002,2294,115,2015-07-21,2025-07-18,2,1,50.00,-34.95,-17.47,28.75,-63.70,-55.52
000004,2227,114,2015-07-21,2025-07-18,2,0,0.00,-71.62,-35.81,-13.21,-58.41,-72.77
000006,2312,116,2015-07-21,2025-07-18,1,0,0.00,-36.45,-36.45,-36.45,-36.45,-47.83
000007,1974,101,2015-11-23,2025-07-18,1,0,0.00,-9.21,-9.21,-9.21,-9.21,-72.95
000008,2355,120,2015-07-21,2025-07-18,1,0,0.00,-72.13,-72.13,-72.13,-72.13,-88.70
000009,2409,120,2015-08-18,2025-07-18,1,1,100.00,164.16,164.16,164.16,164.16,-25.11
000010,2421,121,2015-07-21,2025-07-18,1,0,0.00,-65.05,-65.05,-65.05,-65.05,-65.05
000011,2429,121,2015-07-21,2025-07-18,3,2,66.67,9.88,3.29,27.34,-31.30,-18.02
000012,2429,121,2015-07-21,2025-07-18,2,0,0.00,-60.73,-30.36,-23.65,-37.08,-62.74
000014,2429,121,2015-07-21,2025-07-18,1,0,0.00,-7.62,-7.62,-7.62,-7.62,-41.16
000016,2356,119,2015-09-11,2025-07-18,3,1,33.33,3.50,1.17,45.75,-35.14,-81.50
000017,2395,121,2015-07-21,2025-07-18,1,0,0.00,-69.05,-69.05,-69.05,-69.05,-49.57
000019,2272,114,2015-07-21,2025-07-18,1,1,100.00,12.44,12.44,12.44,12.44,-45.91
000020,2342,119,2015-07-21,2025-07-18,1,0,0.00,-14.22,-14.22,-14.22,-14.22,-34.43
000021,2428,121,2015-07-21,2025-07-18,2,1,50.00,6.73,3.36,42.56,-35.83,71.74
000025,2413,121,2015-07-21,2025-07-18,1,0,0.00,-46.49,-46.49,-46.49,-46.49,-24.39
000026,2429,121,2015-07-21,2025-07-18,3,2,66.67,93.06,31.02,52.01,-4.13,24.26
000027,2429,121,2015-07-21,2025-07-18,2,1,50.00,-6.09,-3.05,0.29,-6.38,-32.03
000028,2318,117,2015-07-21,2025-07-18,2,0,0.00,-39.72,-19.86,-6.36,-33.36,-63.38
000029,1423,72,2015-07-21,2025-07-18,1,1,100.00,38.53,38.53,38.53,38.53,98.95
000030,2422,121,2015-07-21,2025-07-18,2,1,50.00,-35.80,-17.90,7.22,-43.02,-54.31
000031,2241,113,2015-07-21,2025-07-18,1,0,0.00,-66.05,-66.05,-66.05,-66.05,-81.57
000032,2275,115,2015-07-21,2025-07-18,2,1,50.00,84.99,42.50,105.37,-20.38,23.39
000034,2077,107,2015-08-28,2025-07-18,2,2,100.00,35.13,17.57,23.21,11.92,285.87
000035,2147,110,2015-07-21,2025-07-18,1,0,0.00,-38.42,-38.42,-38.42,-38.42,-77.03
000036,2429,121,2015-07-21,2025-07-18,2,1,50.00,-31.73,-15.87,18.94,-50.68,-44.61
000037,2309,116,2015-07-21,2025-07-18,3,2,66.67,38.56,12.85,33.18,-1.71,2.87
000039,2424,121,2015-07-21,2025-07-18,2,2,100.00,5.02,2.51,2.73,2.29,-65.15
000042,2286,116,2015-07-21,2025-07-18,1,0,0.00,-57.95,-57.95,-57.95,-57.95,-59.81
000045,2326,118,2015-07-21,2025-07-18,2,0,0.00,-20.14,-10.07,-1.64,-18.50,-6.07
000048,2256,114,2015-07-21,2025-07-18,2,1,50.00,-3.92,-1.96,20.65,-24.57,-21.88
000049,2423,121,2015-07-21,2025-07-18,3,1,33.33,-34.59,-11.53,28.91,-54.41,-52.90
000050,2299,116,2015-07-21,2025-07-18,2,0,0.00,-70.27,-35.13,-28.33,-41.93,-55.10
000055,2427,121,2015-07-21,2025-07-18,2,1,50.00,-20.61,-10.31,6.33,-26.94,-61.47
000056,2320,116,2015-07-21,2025-07-18,2,0,0.00,-80.18,-40.09,-13.26,-66.92,-88.41
000058,2347,119,2015-07-21,2025-07-18,1,0,0.00,-48.73,-48.73,-48.73,-48.73,-42.96
000059,2428,121,2015-07-21,2025-07-18,3,1,33.33,20.79,6.93,26.13,-3.44,-39.62
000060,2428,121,2015-07-21,2025-07-18,2,0,0.00,-77.99,-38.99,-12.27,-65.72,-66.97
000061,2354,119,2015-07-21,2025-07-18,2,1,50.00,23.08,11.54,25.37,-2.29,-60.37
000062,2393,121,2015-07-21,2025-07-18,1,0,0.00,-10.95,-10.95,-10.95,-10.95,-35.21
000063,2358,120,2015-07-21,2025-07-18,3,1,33.33,-29.44,-9.81,13.80,-22.99,68.57
000065,2320,117,2015-07-21,2025-07-18,2,0,0.00,-76.43,-38.22,-8.96,-67.48,-68.79
000066,2254,113,2016-03-10,2025-07-18,2,2,100.00,83.12,41.56,66.78,16.34,-22.54
000068,2428,121,2015-07-21,2025-07-18,2,0,0.00,-95.48,-47.74,-21.21,-74.27,-64.19
000069,2429,121,2015-07-21,2025-07-18,3,1,33.33,-28.60,-9.53,3.62,-21.62,-76.52
000070,2421,121,2015-07-21,2025-07-18,1,1,100.00,4.04,4.04,4.04,4.04,-62.60
000078,2429,121,2015-07-21,2025-07-18,2,0,0.00,-63.74,-31.87,-7.91,-55.83,-86.28
000088,2413,121,2015-07-21,2025-07-18,2,1,50.00,-10.53,-5.26,10.85,-21.38,-53.94
000089,2429,121,2015-07-21,2025-07-18,3,1,33.33,-15.97,-5.32,7.17,-15.42,-24.19
000090,2424,121,2015-07-21,2025-07-18,1,0,0.00,-65.24,-65.24,-65.24,-65.24,-82.31
000096,2429,121,2015-07-21,2025-07-18,1,0,0.00,-35.14,-35.14,-35.14,-35.14,-32.50
000099,2306,116,2015-07-21,2025-07-18,1,0,0.00,-46.17,-46.17,-46.17,-46.17,28.50
000100,2263,116,2015-07-21,2025-07-18,2,2,100.00,105.94,52.97,100.56,5.37,-15.86
000151,2419,121,2015-07-21,2025-07-18,1,0,0.00,-38.63,-38.63,-38.63,-38.63,-38.29
000153,2172,111,2015-07-21,2025-07-18,2,1,50.00,-30.20,-15.10,11.69,-41.89,-36.18
000155,1991,102,2015-07-21,2025-07-18,2,1,50.00,273.32,136.66,287.70,-14.38,18.35
000156,2301,116,2015-07-21,2025-07-18,1,0,0.00,-75.16,-75.16,-75.16,-75.16,-77.27
000157,2429,121,2015-07-21,2025-07-18,2,2,100.00,67.78,33.89,60.21,7.57,16.12
000158,2420,121,2015-07-21,2025-07-18,1,0,0.00,-53.42,-53.42,-53.42,-53.42,35.52
000159,2317,116,2015-07-21,2025-07-18,4,1,25.00,-15.60,-3.90,35.87,-23.39,-35.15
000166,2404,121,2015-07-21,2025-07-18,1,0,0.00,-20.00,-20.00,-20.00,-20.00,-62.37
000301,2258,115,2015-07-21,2025-07-18,3,1,33.33,186.77,62.26,207.51,-12.91,29.23
000333,2379,121,2015-07-21,2025-07-18,2,2,100.00,72.40,36.20,48.71,23.69,107.73
000338,2427,121,2015-07-21,2025-07-18,2,2,100.00,97.80,48.90,82.23,15.57,-35.54
000400,2429,121,2015-07-21,2025-07-18,1,0,0.00,-22.67,-22.67,-22.67,-22.67,4.07
000401,2289,118,2015-07-21,2025-07-18,3,2,66.67,-1.91,-0.64,38.02,-41.54,-55.63
000402,2429,121,2015-07-21,2025-07-18,2,0,0.00,-66.22,-33.11,-2.96,-63.26,-72.43
000403,2264,115,2015-11-12,2025-07-18,2,1,50.00,1.16,0.58,25.07,-23.90,-12.94
000404,2420,121,2015-07-21,2025-07-18,1,1,100.00,26.71,26.71,26.71,26.71,-7.93
000407,2335,118,2015-07-21,2025-07-18,2,1,50.00,12.54,6.27,15.63,-3.09,-53.38
000408,2373,120,2015-07-21,2025-07-18,1,1,100.00,27.05,27.05,27.05,27.05,171.40
000409,2237,115,2015-07-21,2025-07-18,1,1,100.00,35.69,35.69,35.69,35.69,4.47
000410,2396,121,2015-07-21,2025-07-18,1,0,0.00,-75.80,-75.80,-75.80,-75.80,-68.24
000411,2408,121,2015-07-21,2025-07-18,2,1,50.00,-15.13,-7.56,6.28,-21.41,-54.16
000415,2117,108,2015-07-21,2025-07-18,1,0,0.00,-59.44,-59.44,-59.44,-59.44,-59.49
000417,2429,121,2015-07-21,2025-07-18,2,1,50.00,-43.89,-21.95,4.85,-48.74,-43.23
000419,2429,121,2015-07-21,2025-07-18,2,1,50.00,-37.59,-18.80,1.02,-38.62,-26.00
000420,2404,121,2015-07-21,2025-07-18,2,2,100.00,55.97,27.99,51.47,4.50,-42.74
000421,2409,121,2015-07-21,2025-07-18,3,0,0.00,-24.20,-8.07,-0.97,-12.07,-34.98
000422,2387,121,2015-07-21,2025-07-18,2,2,100.00,183.51,91.75,171.95,11.56,64.94
000423,2429,121,2015-07-21,2025-07-18,1,1,100.00,39.75,39.75,39.75,39.75,0.44
000425,2396,121,2015-07-21,2025-07-18,1,1,100.00,58.24,58.24,58.24,58.24,-37.97
000426,2228,113,2015-10-08,2025-07-18,3,2,66.67,95.52,31.84,62.18,-3.07,235.82
000428,2429,121,2015-07-21,2025-07-18,2,1,50.00,-42.60,-21.30,0.91,-43.51,-59.52
000429,2423,121,2015-07-22,2025-07-18,2,1,50.00,12.18,6.09,16.01,-3.83,80.88
000430,2405,121,2015-07-21,2025-07-18,2,1,50.00,-36.65,-18.32,4.40,-41.05,-26.13
000488,2422,121,2015-07-21,2025-07-18,3,2,66.67,61.39,20.46,66.74,-62.62,-77.34
000498,2389,121,2015-07-21,2025-07-18,3,1,33.33,-18.79,-6.26,14.75,-23.56,-24.65
000501,2429,121,2015-07-21,2025-07-18,3,0,0.00,-32.96,-10.99,-6.87,-18.44,-55.41
000503,2237,114,2015-08-11,2025-07-18,2,0,0.00,-66.50,-33.25,-24.76,-41.74,-72.25
000504,2229,114,2015-08-17,2025-07-18,2,1,50.00,29.95,14.98,38.62,-8.67,-48.03
000505,2296,116,2015-07-21,2025-07-18,3,2,66.67,18.65,6.22,19.51,-2.89,-29.39
000506,2201,113,2015-07-21,2025-07-18,2,1,50.00,126.21,63.11,187.72,-61.51,-1.49
000507,2421,121,2015-07-21,2025-07-18,2,1,50.00,28.90,14.45,35.35,-6.45,-31.81
000509,2160,111,2015-07-21,2025-07-18,2,1,50.00,44.06,22.03,55.60,-11.54,-52.41
000510,2395,121,2015-07-21,2025-07-18,3,3,100.00,52.06,17.35,31.89,8.36,-35.02
000513,2372,119,2015-07-21,2025-07-18,3,2,66.67,18.03,6.01,21.31,-19.05,-36.19
000514,2419,121,2015-07-21,2025-07-18,2,1,50.00,-5.08,-2.54,28.51,-33.59,-25.68
000516,2257,114,2015-07-21,2025-07-18,2,1,50.00,110.80,55.40,123.03,-12.23,-78.52
000517,2407,121,2015-07-21,2025-07-18,1,0,0.00,-46.33,-46.33,-46.33,-46.33,-87.32
000518,2420,121,2015-07-31,2025-07-18,2,1,50.00,-12.68,-6.34,14.67,-27.36,-65.46
000519,2315,116,2015-12-28,2025-07-18,2,2,100.00,74.19,37.09,49.89,24.30,24.52
000520,2319,116,2015-12-18,2025-07-18,1,1,100.00,59.49,59.49,59.49,59.49,-72.00
000521,2409,121,2015-07-21,2025-07-18,2,1,50.00,35.15,17.58,44.36,-9.21,-7.47
000523,2369,119,2015-07-21,2025-07-18,1,0,0.00,-72.64,-72.64,-72.64,-72.64,-77.02
000524,2318,117,2015-07-21,2025-07-18,2,2,100.00,25.44,12.72,17.18,8.26,-22.85
000525,2401,121,2015-07-21,2025-07-18,3,2,66.67,45.55,15.18,63.62,-33.33,-62.05
000526,2151,110,2015-08-10,2025-07-18,2,2,100.00,251.46,125.73,148.71,102.75,111.58
000528,2408,121,2015-07-21,2025-07-18,3,3,100.00,51.80,17.27,46.26,0.14,-4.34
000529,2341,118,2015-07-21,2025-07-18,3,2,66.67,-30.23,-10.08,6.25,-41.74,-41.21
000530,2429,121,2015-07-21,2025-07-18,2,2,100.00,61.45,30.73,41.27,20.19,-57.58
000531,2331,117,2015-07-21,2025-07-18,3,1,33.33,-4.69,-1.56,10.86,-7.80,-38.48
000532,2429,121,2015-07-21,2025-07-18,2,2,100.00,32.86,16.43,27.65,5.21,-17.08
000533,2329,118,2015-07-21,2025-07-18,1,1,100.00,54.96,54.96,54.96,54.96,-24.16
000534,2124,109,2015-07-21,2025-07-18,2,2,100.00,55.64,27.82,39.75,15.89,26.59
