rank,stock_code,stock_name,total_trades,winning_trades,win_rate,total_return_pct,avg_return_pct,max_return_pct,min_return_pct,buy_hold_return_pct,date_start,date_end
1,002791,坚朗五金,2,1,50.00,1200.77,600.38,1226.28,-25.51,-22.16,2016-03-29,2025-07-21
2,600763,通策医疗,2,1,50.00,668.16,334.08,702.42,-34.26,-14.68,2015-12-15,2025-07-21
3,002240,盛新锂能,3,3,100.00,536.65,178.88,524.77,0.60,38.93,2015-07-21,2025-07-21
4,603129,春风动力,2,2,100.00,485.86,242.93,439.32,46.54,989.61,2017-08-18,2025-07-21
5,600882,妙可蓝多,2,2,100.00,477.26,238.63,349.31,127.95,128.67,2015-11-30,2025-07-21
6,002459,晶澳科技,2,1,50.00,472.81,236.41,511.02,-38.21,-31.30,2015-07-21,2025-07-21
7,002850,科达利,2,2,100.00,472.71,236.35,452.28,20.42,161.18,2017-03-02,2025-07-21
8,002865,钧达股份,1,1,100.00,471.43,471.43,471.43,471.43,308.84,2017-04-25,2025-07-21
9,000893,亚钾国际,2,2,100.00,464.33,232.16,435.03,29.29,114.90,2015-07-21,2025-07-21
10,603009,北特科技,1,1,100.00,447.24,447.24,447.24,447.24,40.03,2015-07-21,2025-07-21
11,600702,舍得酒业,2,1,50.00,412.90,206.45,420.09,-7.19,88.43,2015-08-20,2025-07-21
12,002541,鸿路钢构,2,2,100.00,409.11,204.55,408.09,1.01,2.57,2015-07-21,2025-07-21
13,002709,天赐材料,2,2,100.00,408.76,204.38,374.82,33.94,-46.54,2015-07-21,2025-07-21
14,002245,蔚蓝锂芯,3,3,100.00,408.34,136.11,350.00,12.98,71.60,2015-07-21,2025-07-21
15,002594,比亚迪,4,2,50.00,361.18,90.30,376.28,-29.26,515.93,2015-07-21,2025-07-21
16,000733,振华科技,2,2,100.00,345.78,172.89,336.54,9.25,124.06,2015-07-21,2025-07-21
17,002463,沪电股份,2,2,100.00,330.18,165.09,229.26,100.91,627.45,2015-07-21,2025-07-21
18,600610,中毅达,2,2,100.00,329.46,164.73,262.17,67.29,74.66,2015-11-10,2025-07-21
19,002460,赣锋锂业,2,1,50.00,328.76,164.38,333.67,-4.91,87.62,2015-07-21,2025-07-21
20,002484,江海股份,2,2,100.00,326.47,163.23,300.66,25.81,16.54,2015-07-21,2025-07-21
21,000762,西藏矿业,3,2,66.67,326.21,108.74,323.17,-5.79,60.43,2015-07-21,2025-07-21
22,600141,兴发集团,3,2,66.67,325.64,108.55,319.07,-0.69,74.45,2015-07-21,2025-07-21
23,002756,永兴材料,2,1,50.00,313.33,156.66,334.87,-21.54,-30.82,2015-07-21,2025-07-21
24,002006,精工科技,2,1,50.00,307.60,153.80,315.97,-8.37,78.10,2015-07-21,2025-07-21
25,002049,紫光国微,4,2,50.00,297.57,74.39,364.13,-36.15,52.09,2015-07-21,2025-07-21
26,002667,威领股份,2,2,100.00,292.65,146.33,282.21,10.44,-52.31,2015-11-26,2025-07-21
27,002812,恩捷股份,2,1,50.00,288.05,144.03,305.94,-17.89,3.45,2016-09-14,2025-07-21
28,600988,赤峰黄金,2,2,100.00,284.27,142.13,245.98,38.29,67.79,2015-07-21,2025-07-21
