stock_code,data_points,date_start,date_end,best_C,best_gamma,is_accuracy,is_precision,is_recall,oos_trades,oos_win_rate,oos_total_return_pct,oos_avg_return_pct,oos_max_drawdown_pct,oos_accuracy,oos_precision,oos_recall
000002,2294,2015-07-21,2025-07-18,100.0000,0.0100,85.16,64.69,84.78,88,29.55,-65.32,-0.74,67.42,59.44,15.25,26.06
000004,2227,2015-07-21,2025-07-18,100.0000,0.0100,81.14,67.23,83.88,126,46.03,112.38,0.89,36.17,53.19,39.72,43.33
000006,2312,2015-07-21,2025-07-18,10.0000,0.0100,77.84,50.13,66.89,103,47.57,84.29,0.82,25.93,59.31,34.35,43.13
000007,1974,2015-11-23,2025-07-18,100.0000,0.0500,99.21,98.36,99.17,73,36.99,-1.58,-0.02,36.18,58.53,24.32,26.73
000008,2355,2015-07-21,2025-07-18,10.0000,0.0500,95.48,77.59,95.90,41,41.46,2.49,0.06,21.08,73.19,17.14,10.23
000009,2409,2015-08-18,2025-07-18,10.0000,0.0100,79.62,60.25,75.00,74,35.14,-56.14,-0.76,61.51,69.98,28.85,41.95
000010,2421,2015-07-21,2025-07-18,100.0000,0.0100,86.10,68.53,84.81,110,42.73,29.78,0.27,38.44,60.89,39.89,48.81
000011,2429,2015-07-21,2025-07-18,10.0000,0.0100,74.77,54.74,64.68,63,39.68,-39.14,-0.62,45.34,70.87,26.40,24.61
000012,2429,2015-07-21,2025-07-18,100.0000,0.0050,79.29,55.85,73.12,80,35.00,-56.08,-0.70,58.75,71.93,16.54,50.57
000014,2429,2015-07-21,2025-07-18,100.0000,0.0100,86.78,69.06,87.57,108,51.85,195.94,1.81,32.02,54.34,35.11,43.95
000016,2356,2015-09-11,2025-07-18,10.0000,0.0500,89.93,72.22,94.55,102,45.10,-12.09,-0.12,38.10,64.04,29.08,38.86
000017,2395,2015-07-21,2025-07-18,1.0000,0.1000,85.81,69.18,89.00,89,38.20,-8.82,-0.10,53.02,64.52,38.20,38.20
000019,2272,2015-07-21,2025-07-18,10.0000,0.0500,91.60,77.80,95.42,55,45.45,51.88,0.94,22.92,76.62,23.68,28.57
000020,2342,2015-07-21,2025-07-18,10.0000,0.0500,89.88,76.36,89.47,77,53.25,81.38,1.06,32.96,63.04,32.23,31.20
000021,2428,2015-07-21,2025-07-18,100.0000,0.0050,77.44,56.16,73.16,110,44.55,63.20,0.57,28.91,64.51,36.09,55.98
000025,2413,2015-07-21,2025-07-18,100.0000,0.0050,80.07,48.57,76.12,85,49.41,48.92,0.58,28.18,63.43,25.77,37.13
000026,2429,2015-07-21,2025-07-18,100.0000,0.0100,83.60,58.82,81.43,75,33.33,-49.67,-0.66,56.74,66.74,19.23,26.47
000027,2429,2015-07-21,2025-07-18,10.0000,0.0100,83.67,44.99,85.57,69,43.48,-20.82,-0.30,39.29,70.76,11.55,34.94
000028,2318,2015-07-21,2025-07-18,100.0000,0.0500,100.00,100.00,100.00,33,39.39,-8.16,-0.25,28.15,78.78,14.93,6.94
000029,1423,2015-07-21,2025-07-18,1.0000,0.0500,80.52,62.12,79.48,40,42.50,7.36,0.18,24.39,63.84,42.57,36.21
000030,2422,2015-07-21,2025-07-18,10.0000,0.1000,99.50,97.54,100.00,60,45.00,18.45,0.31,22.29,72.26,21.71,18.86
000031,2241,2015-07-21,2025-07-18,100.0000,0.0050,81.57,45.87,76.30,65,46.15,27.57,0.42,37.54,64.44,23.08,22.06
000032,2275,2015-07-21,2025-07-18,10.0000,0.0500,92.29,83.22,92.58,120,37.50,-40.53,-0.34,46.66,52.61,34.68,42.43
000034,2077,2015-08-28,2025-07-18,10.0000,0.0500,92.69,86.87,93.41,114,47.37,77.34,0.68,38.77,51.56,37.46,44.33
000035,2147,2015-07-21,2025-07-18,1.0000,0.1000,87.32,62.82,89.56,77,48.05,30.85,0.40,22.24,64.02,26.25,34.05
000036,2429,2015-07-21,2025-07-18,10.0000,0.1000,99.01,94.80,100.00,76,35.53,-19.17,-0.25,40.66,66.53,22.28,20.57
000037,2309,2015-07-21,2025-07-18,100.0000,0.0100,83.92,67.99,83.76,80,43.75,-0.27,-0.00,41.12,62.39,35.88,35.74
000039,2424,2015-07-21,2025-07-18,100.0000,0.0100,84.42,60.00,89.14,77,42.86,-53.39,-0.69,66.88,67.94,15.44,36.84
000042,2286,2015-07-21,2025-07-18,100.0000,0.0100,86.83,48.18,97.55,61,36.07,-29.72,-0.49,52.61,60.88,30.95,18.37
000045,2326,2015-07-21,2025-07-18,10.0000,0.0500,93.35,85.05,93.33,90,45.56,25.02,0.28,34.71,60.80,28.00,28.69
000048,2256,2015-07-21,2025-07-18,100.0000,0.0500,99.47,97.59,100.00,76,44.74,40.82,0.54,22.13,63.66,23.47,24.39
000049,2423,2015-07-21,2025-07-18,100.0000,0.0100,82.35,66.99,81.37,122,40.98,31.60,0.26,35.80,62.42,34.02,57.39
000050,2299,2015-07-21,2025-07-18,10.0000,0.0500,90.35,74.61,95.40,81,40.74,-32.73,-0.40,51.54,58.97,12.73,32.54
000055,2427,2015-07-21,2025-07-18,10.0000,0.0500,92.57,77.14,94.59,60,51.67,33.21,0.55,35.66,70.41,10.33,14.29
000056,2320,2015-07-21,2025-07-18,100.0000,0.0100,82.67,59.70,85.49,136,38.24,-9.62,-0.07,58.60,50.67,36.30,45.76
