排名,股票代码,股票名称,OOS总收益%,OOS胜率%,OOS交易次数,OOS平均收益%,最大回撤%,OOS准确率%,OOS精确率%,OOS召回率%,最佳C,最佳gamma
1,002463,沪电股份,741.25,52.35,149,4.97,41.21,54.66,46.03,51.65,10.0000,0.0500
2,002177,御银股份,513.64,51.47,136,3.78,26.91,52.97,41.34,52.47,100.0000,0.0050
3,002565,顺灏股份,496.15,58.24,91,5.45,29.01,59.28,40.85,34.94,100.0000,0.0100
4,002685,华东重机,489.69,54.79,73,6.71,22.28,69.33,52.76,38.04,10.0000,0.0100
5,002582,好想你,420.37,56.63,83,5.06,18.85,63.49,32.92,49.08,1.0000,0.0500
6,002629,仁智股份,359.16,49.14,116,3.10,47.95,56.70,44.39,56.71,10.0000,0.0100
7,600650,锦江在线,331.25,58.11,74,4.48,14.73,70.13,35.56,27.83,100.0000,0.0500
8,000678,襄阳轴承,327.74,50.00,114,2.87,37.19,56.79,42.26,37.11,10.0000,0.0500
9,601069,西部黄金,323.75,52.88,104,3.11,23.16,55.80,31.22,52.89,1.0000,0.0500
10,002130,沃尔核材,307.43,54.24,118,2.61,37.57,53.18,34.12,41.40,100.0000,0.0100
11,002189,中光学,301.25,53.40,103,2.92,25.73,61.90,45.70,36.68,10.0000,0.0500
12,002052,同洲电子,300.33,53.00,100,3.00,26.21,52.19,38.70,37.88,100.0000,0.0100
13,002547,春兴精工,290.13,48.39,124,2.34,36.98,58.33,42.39,50.49,1.0000,0.0500
14,002862,实丰文化,288.31,51.25,80,3.60,23.64,58.82,45.21,28.15,10.0000,0.1000
15,000506,中润资源,287.10,50.50,101,2.84,36.52,60.61,53.72,36.72,10.0000,0.0500
16,600345,长江通信,283.49,52.63,95,2.98,25.02,60.68,28.40,26.24,100.0000,0.0500
17,002104,恒宝股份,282.78,49.61,127,2.23,42.94,58.22,36.09,50.88,1.0000,0.0500
18,002769,普路通,280.99,51.00,100,2.81,23.55,61.56,45.29,37.54,100.0000,0.0050
19,600463,空港股份,273.97,46.77,124,2.21,31.73,54.46,39.40,45.93,1.0000,0.1000
20,002232,启明信息,267.17,48.82,127,2.10,36.68,56.46,40.81,47.93,10.0000,0.0100
21,000692,惠天热电,266.79,57.32,82,3.25,16.99,64.51,34.55,28.46,10.0000,0.0500
22,002246,北化股份,263.55,53.06,98,2.69,25.34,61.33,44.74,38.39,100.0000,0.0500
23,600738,丽尚国潮,259.94,57.14,91,2.86,25.75,58.29,36.16,45.39,100.0000,0.0050
24,000701,厦门信达,257.56,52.63,95,2.71,22.95,59.22,35.79,35.67,1.0000,0.1000
25,002350,北京科锐,256.37,52.48,101,2.54,36.84,61.28,37.00,43.37,100.0000,0.0100
26,002654,万润科技,255.91,45.97,124,2.06,37.90,52.34,40.43,33.14,10.0000,0.0500
27,000975,山金国际,250.93,50.00,100,2.51,23.72,58.77,36.66,40.86,10.0000,0.0500
28,603109,神驰机电,250.43,54.39,57,4.39,20.08,61.37,40.71,33.33,10.0000,0.1000
29,002261,拓维信息,247.57,47.53,162,1.53,38.42,53.10,42.43,54.08,100.0000,0.0050
30,002512,达华智能,243.61,49.25,134,1.82,38.42,51.18,36.34,46.08,10.0000,0.0500
31,603099,长白山,242.38,55.42,83,2.92,31.56,54.24,39.13,26.26,10.0000,0.0500
32,600101,明星电力,241.67,55.32,94,2.57,33.72,62.92,41.90,39.14,1.0000,0.0500
33,002491,通鼎互联,241.59,54.08,98,2.47,23.87,62.95,38.70,48.26,10.0000,0.0100
34,000957,中通客车,238.46,49.15,118,2.02,35.64,60.23,35.22,37.32,10.0000,0.0500
35,000533,顺钠股份,238.13,52.43,103,2.31,26.09,54.65,32.57,39.58,10.0000,0.0500
36,002553,南方精工,234.05,50.40,125,1.87,30.88,57.69,45.89,53.67,100.0000,0.0050
37,600159,大龙地产,233.83,56.63,83,2.82,39.69,62.82,40.96,21.18,10.0000,0.0500
38,002871,伟隆股份,233.73,59.38,64,3.65,20.69,65.54,37.21,38.10,1.0000,0.1000
39,002584,西陇科学,224.47,51.22,123,1.82,37.87,57.97,41.91,47.08,10.0000,0.0500
40,002517,恺英网络,219.79,47.17,106,2.07,35.88,55.28,38.89,34.29,10.0000,0.1000
41,603058,永吉股份,219.01,58.11,74,2.96,24.70,61.32,28.70,28.31,10.0000,0.0500
42,002370,亚太药业,217.26,51.16,86,2.53,20.40,63.03,37.29,41.67,10.0000,0.0500
43,002355,兴民智通,214.53,49.62,131,1.64,32.35,57.84,48.20,43.87,10.0000,0.0500
44,600689,上海三毛,214.35,50.00,96,2.23,21.38,60.24,37.31,33.44,10.0000,0.0500
45,000700,模塑科技,208.26,48.67,113,1.84,28.68,60.45,37.31,55.06,100.0000,0.0050
46,000890,法尔胜,208.05,52.58,97,2.14,37.43,59.44,29.69,29.12,1.0000,0.1000
47,002077,大港股份,207.76,50.00,90,2.31,28.88,61.99,36.44,30.39,10.0000,0.0500
48,603088,宁波精达,207.76,54.13,109,1.91,41.08,55.12,32.43,41.24,10.0000,0.0500
49,002138,顺络电子,206.05,52.63,95,2.17,23.79,66.74,30.61,45.00,1.0000,0.0500
50,002205,国统股份,204.19,49.59,123,1.66,47.15,54.37,38.78,57.63,100.0000,0.0050
51,002338,奥普光电,203.95,47.83,115,1.77,27.93,56.93,41.55,42.77,1.0000,0.1000
52,000948,南天信息,201.81,46.15,130,1.55,35.80,51.72,33.33,45.78,100.0000,0.0100
53,600730,中国高科,199.53,52.08,96,2.08,25.41,60.98,30.45,30.68,100.0000,0.0100
54,002126,银轮股份,199.23,47.24,127,1.57,40.15,52.84,33.56,51.19,100.0000,0.0100
55,002717,ST岭南,198.08,47.27,110,1.80,41.14,59.69,42.56,31.40,100.0000,0.0500
56,000151,中成股份,196.42,54.93,71,2.77,19.33,64.04,43.41,25.16,10.0000,0.0500
57,600830,香溢融通,196.02,51.76,85,2.31,20.21,67.27,42.23,31.41,100.0000,0.1000
58,000014,沙河股份,195.94,51.85,108,1.81,32.02,54.34,35.11,43.95,100.0000,0.0100
59,002642,荣联科技,195.66,52.00,100,1.96,28.56,57.73,39.10,32.30,10.0000,0.0500
60,002837,英维克,194.39,50.00,148,1.31,34.18,58.09,48.37,76.95,0.1000,0.1000
61,600238,*ST椰岛,193.63,48.86,88,2.20,28.07,61.81,39.50,25.57,10.0000,0.1000
62,002806,华锋股份,193.33,48.96,96,2.01,32.97,58.62,45.57,48.65,100.0000,0.0050
63,002595,豪迈科技,191.05,62.16,74,2.58,14.33,57.94,25.07,42.13,1.0000,0.0500
64,002488,金固股份,189.74,53.75,80,2.37,24.37,67.83,43.44,39.11,1.0000,0.0500
65,002602,ST华通,188.58,49.09,110,1.71,52.57,57.36,38.66,63.26,10.0000,0.0100
66,000603,盛达资源,188.07,48.51,101,1.86,28.33,57.69,34.31,37.37,100.0000,0.0050
67,002590,万安科技,187.35,48.48,99,1.89,23.84,60.66,37.16,31.91,10.0000,0.0500
68,600105,永鼎股份,187.34,47.20,125,1.50,38.48,57.98,41.10,37.35,10.0000,0.0500
69,603023,威帝股份,186.89,48.94,94,1.99,20.36,55.61,27.71,34.46,10.0000,0.0500
70,600522,中天科技,185.32,50.40,125,1.48,39.39,57.78,37.86,54.08,100.0000,0.0050
71,002272,川润股份,185.15,50.44,113,1.64,44.11,51.22,35.46,42.64,100.0000,0.0050
72,600638,新黄浦,185.07,52.21,113,1.64,20.21,55.67,31.32,55.78,10.0000,0.0100
73,600988,赤峰黄金,184.94,48.89,90,2.05,25.29,58.48,34.55,46.07,100.0000,0.0010
74,600287,ST舜天,182.22,53.26,92,1.98,18.00,60.49,30.08,53.67,100.0000,0.0010
75,601881,中国银河,181.63,59.09,44,4.13,12.10,70.77,20.83,11.30,100.0000,0.1000
76,000953,河化股份,181.29,52.88,104,1.74,40.90,54.01,37.74,38.46,10.0000,0.0500
77,002086,东方海洋,179.97,46.74,92,1.96,36.47,62.80,46.22,34.48,100.0000,0.0100
78,002896,中大力德,179.41,48.08,104,1.73,28.34,57.18,47.13,40.86,100.0000,0.0100
79,002397,梦洁股份,178.57,47.25,91,1.96,48.98,59.85,31.11,30.32,10.0000,0.0500
80,002253,*ST智胜,177.59,44.63,121,1.47,44.67,55.72,35.48,42.58,100.0000,0.0100
81,000576,甘化科工,177.58,49.00,100,1.78,28.09,62.27,37.91,54.12,100.0000,0.0100
82,000779,甘咨询,177.50,50.59,85,2.09,30.40,63.39,39.53,38.35,1.0000,0.1000
83,600188,兖矿能源,176.92,50.00,108,1.64,33.47,61.86,38.40,57.68,100.0000,0.0050
84,601606,长城军工,176.45,56.67,60,2.94,15.98,60.28,25.85,33.54,100.0000,0.0050
85,600838,上海九百,176.22,50.54,93,1.89,36.07,61.23,31.72,35.38,1.0000,0.0500
86,601518,XD吉林高,175.56,66.67,51,3.44,13.09,73.57,18.01,20.42,10.0000,0.0500
87,600579,中化装备,174.89,48.04,102,1.71,40.64,54.24,32.65,39.16,100.0000,0.0100
88,000430,ST张家界,174.73,50.94,106,1.65,38.19,53.32,34.69,47.08,1.0000,0.0500
89,002716,湖南白银,173.75,48.24,85,2.04,19.22,65.10,30.90,32.29,10.0000,0.0500
90,002380,科远智慧,173.74,52.43,103,1.69,45.75,65.46,44.06,43.30,1.0000,0.0500
91,600397,安源煤业,173.37,48.78,123,1.41,28.92,54.83,34.04,51.79,100.0000,0.0050
92,002882,金龙羽,170.68,48.53,68,2.51,14.70,54.86,41.67,33.44,1.0000,0.1000
93,002155,湖南黄金,169.88,47.58,124,1.37,42.36,55.08,36.94,61.15,10.0000,0.0050
94,600319,亚星化学,168.73,57.75,71,2.38,31.21,60.72,23.35,24.54,10.0000,0.1000
95,002112,三变科技,168.31,53.49,86,1.96,32.25,52.39,38.08,32.23,10.0000,0.0500
96,600365,ST通葡,167.86,55.21,96,1.75,17.98,61.82,30.07,36.24,10.0000,0.0500
97,000526,学大教育,167.82,47.37,95,1.77,37.06,59.06,41.74,33.55,10.0000,0.0500
98,002115,三维通信,167.81,47.79,113,1.49,27.32,57.79,40.32,50.17,100.0000,0.0100
99,002712,思美传媒,167.65,50.47,107,1.57,41.86,60.38,41.20,38.11,10.0000,0.0500
100,600833,第一医药,167.00,53.66,82,2.04,21.99,62.08,32.29,36.33,100.0000,0.0100
