stock_code,stock_name,data_points,date_start,date_end,length0,p1,p2,p3,in_sample_return_pct,out_of_sample_return_pct,full_return_pct
002940,昂利康,1627,2018-10-23,2025-07-21,5,12,2,5,70.94,391.01,408.66
002104,恒宝股份,2426,2015-07-21,2025-07-21,7,7,4,5,-53.79,288.98,235.19
002951,金时科技,1538,2019-03-15,2025-07-21,12,12,4,12,-27.0,275.51,246.66
002265,建设工业,2325,2015-07-21,2025-07-21,3,8,2,2,109.37,254.78,351.4
000880,潍柴重机,2420,2015-07-21,2025-07-21,5,8,6,11,-13.65,231.07,217.41
600113,浙江东日,2336,2015-07-21,2025-07-21,6,2,9,3,28.2,221.68,244.13
002602,ST华通,2192,2015-12-08,2025-07-21,12,6,12,15,86.97,220.32,275.65
002141,贤丰控股,2307,2015-07-21,2025-07-21,12,15,11,15,230.89,215.84,255.81
002734,利民股份,2425,2015-07-21,2025-07-21,14,5,9,15,3.89,209.7,220.87
002693,*ST双成,2378,2015-07-21,2025-07-21,3,3,11,11,66.39,208.93,272.97
002229,鸿博股份,2425,2015-07-21,2025-07-21,5,6,14,2,37.55,208.4,249.73
000506,中润资源,2201,2015-07-21,2025-07-18,3,3,12,12,87.93,208.09,296.03
002779,中坚科技,2292,2015-12-09,2025-07-21,10,9,13,14,-33.17,205.32,162.96
002052,同洲电子,2177,2015-11-05,2025-07-21,3,3,4,5,50.73,205.24,253.44
000628,高新发展,2396,2015-08-24,2025-07-21,7,12,10,7,-26.38,203.1,183.54
002432,九安医疗,2413,2015-07-21,2025-07-21,14,4,13,10,118.23,201.43,318.91
600593,大连圣亚,2361,2015-10-26,2025-07-21,4,2,6,3,134.9,200.06,339.57
600520,三佳科技,2397,2015-07-24,2025-07-21,5,2,13,2,31.1,197.75,223.5
600777,ST新潮,2220,2015-12-17,2025-07-21,3,2,9,14,74.81,189.7,265.18
600589,大位科技,2337,2015-08-28,2025-07-21,4,4,4,11,56.6,189.3,226.45
603040,新坐标,2052,2017-02-09,2025-07-21,3,2,2,9,7.5,188.96,196.46
601138,工业富联,1727,2018-06-08,2025-07-21,13,13,13,4,-0.49,184.11,183.62
002384,东山精密,2241,2015-12-31,2025-07-21,9,10,3,7,136.43,182.43,290.27
002558,巨人网络,2241,2015-11-11,2025-07-21,14,11,15,3,-43.93,182.24,127.8
603123,翠微股份,2419,2015-07-21,2025-07-21,4,12,13,13,39.54,181.23,219.58
002866,传艺科技,1925,2017-04-26,2025-07-21,15,11,15,12,30.22,180.69,204.88
002808,*ST恒久,2167,2016-08-12,2025-07-21,14,7,13,3,50.44,179.79,243.62
002565,顺灏股份,2426,2015-07-21,2025-07-21,3,15,9,11,161.81,179.47,345.2
002246,北化股份,2254,2015-07-21,2025-07-21,3,3,6,10,101.58,167.79,264.66
002514,宝馨科技,2309,2016-01-08,2025-07-21,4,6,4,2,-11.16,167.69,156.54
600826,兰生股份,2419,2015-07-21,2025-07-21,4,13,2,5,-17.71,166.04,142.11
002896,中大力德,1913,2017-08-29,2025-07-21,3,12,11,13,23.33,165.67,159.13
