trade_no,etf_code,etf_name,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,entry_year,pnl_bucket
1,sh510500,中证500ETF,2015-03-09,2015-04-07,5.0670,6.6710,31.66,21,2015,> 30%
2,sz159922,中证500ETF嘉实,2015-03-09,2015-04-07,2.0050,2.6200,30.67,21,2015,> 30%
3,sh510330,沪深300ETF华夏,2015-03-09,2015-04-08,2.7190,3.5450,30.38,22,2015,> 30%
4,sh513500,标普500ETF博时,2015-07-06,2015-08-28,0.5740,0.5800,1.05,40,2015,0~5%
5,sz159941,纳指ETF,2015-10-12,2015-10-30,0.2320,0.2470,6.47,15,2015,5~10%
6,sz159941,纳指ETF,2015-11-02,2015-11-30,0.2470,0.2500,1.21,21,2015,0~5%
7,sh512500,中证500ETF华夏,2015-12-07,2015-12-31,3.5960,3.5600,-1.00,19,2015,-5~0%
8,sh513500,标普500ETF博时,2015-10-12,2016-01-08,0.5830,0.5870,0.69,64,2015,0~5%
9,sh513100,纳指ETF,2015-10-12,2016-01-08,0.2900,0.3060,5.52,64,2015,5~10%
10,sh512500,中证500ETF华夏,2016-01-04,2016-01-08,3.5600,3.0510,-14.30,5,2016,-20~-10%
11,sh512500,中证500ETF华夏,2016-03-07,2016-03-31,2.7300,2.9380,7.62,19,2016,5~10%
12,sh512070,证券保险ETF易方达,2016-03-07,2016-03-31,0.5010,0.5420,8.18,19,2016,5~10%
13,sh513660,恒生ETF,2016-04-05,2016-04-29,1.7160,1.7570,2.39,19,2016,0~5%
14,sh513600,恒生指数ETF南方,2016-04-05,2016-04-29,1.6930,1.7430,2.95,19,2016,0~5%
15,sh513660,恒生ETF,2016-05-03,2016-05-31,1.7570,1.7800,1.31,21,2016,0~5%
16,sh513600,恒生指数ETF南方,2016-05-03,2016-05-31,1.7430,1.7640,1.20,21,2016,0~5%
17,sh510500,中证500ETF,2016-06-06,2016-06-30,5.2570,5.3560,1.88,17,2016,0~5%
18,sz159922,中证500ETF嘉实,2016-06-06,2016-06-30,1.9710,2.0180,2.38,17,2016,0~5%
19,sz159915,创业板ETF易方达,2016-08-08,2016-08-31,2.0190,2.0990,3.96,18,2016,0~5%
20,sh512880,证券ETF,2016-10-17,2016-10-31,1.0300,1.0580,2.72,11,2016,0~5%
21,sh513500,标普500ETF博时,2016-03-07,2016-11-22,0.6050,0.7900,30.58,176,2016,> 30%
22,sh512000,券商ETF,2016-11-07,2016-12-09,0.5230,0.5150,-1.53,25,2016,-5~0%
23,sz159949,创业板50ETF,2016-11-28,2016-12-09,0.9260,0.8860,-4.32,10,2016,-5~0%
24,sh512660,军工ETF,2017-01-09,2017-01-26,1.0170,1.0200,0.29,14,2017,0~5%
25,sh512680,军工ETF广发,2017-01-09,2017-01-26,1.0000,0.9980,-0.20,14,2017,-5~0%
26,sz159901,深证100ETF易方达,2017-02-06,2017-02-28,1.8850,1.9560,3.77,17,2017,0~5%
27,sh513100,纳指ETF,2016-07-04,2017-03-06,0.3100,0.4000,29.03,163,2016,20~30%
28,sh510500,中证500ETF,2017-02-06,2017-04-21,5.4300,5.5080,1.44,53,2017,0~5%
29,sh512070,证券保险ETF易方达,2017-05-08,2017-05-31,0.5390,0.5840,8.35,16,2017,5~10%
30,sh513050,中概互联网ETF易方达,2017-03-06,2017-07-27,1.0640,1.3930,30.92,99,2017,> 30%
